|speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype
1804|Yennefer|Avallac'h's on the ship. We know that.|Geralt|Stop.|Geralt|What if he's not…?|A jeśli nie...|Co jeśli go tam nie ma…?
1805|Cirilla|No, just said you like me.|Cirilla choice|Wha? But I asked her… Besides, it's not… O' course, y'are very… But…|Skellige Warrior 03|No… Except to mention that you fancy me.|Nie... Tylko tyle, że ponoć ci się podobam.|No... Chyba że chodziło ci o to, że mnie lubisz.
1806|Geralt|Where am I?|Novigrad Nobleman 02|Where am I?|Novigrad Nobleman 02|You all right?|Wszystko w porządku?|Czy wszystko z tobą w porządku?
1807|Geralt|I'd even call it a secret.|Avallach|Oh, I assure you, he's excellent at covering his tracks - though not terribly subtle.|Avallach|How'd he manage to hide it?|Jak zdołał ukryć coś takiego?|Jak udało mu się to ukryć?
1808|Verden Old Man 02|Shrine, where is it exactly?|Geralt|Right past the bridge, then right again. I'll find it. Thanks.|Geralt|Track that weaves through the village - follow it to the bridge. Turn right past that, then go on straight as piss till you get to a crossroads. Turn right again, then follow that path up a hill. Shrine stands upon it.|Idź drogą, co przez wioskę biegnie, aż dojdziesz do mostu. Za mostem skręć w prawo i idź prosto, aż dojdziesz do skrzyżowania. Znów skręć w prawo i idź tą drogą, aż do wzniesienia. Na nim stoi kapliczka.|Ścieżka, która przechodzi przez wieś - idź nią do mostu. Skręć w prawo za tym, a potem idź prosto aż dotrzesz do skrzyżowania. Skręć ponownie w prawo, a następnie idź tą ścieżką pod górę. Sanktuarium stoi na szczycie.
1809|Novigrad Thug Strong 03|Fuckin' come on!|Novigrad Thug Strong 03|He's a warlock!|Novigrad Thug Strong 03|Gotta get around 'im.|Musimy go obejść|Muszę go jakoś obejść.
1810|Geralt|Farewell.|Geralt|You might know the value of your services, but I know the limit of our funds. We're not rich men, just town guards.|Novigrad Guard 03|Farewell.|Bywaj.|Do widzenia.
1811|Geralt|Hm, something down there, but I can't make it out.|Geralt|||Somebody dragged something heavy towards the terrace.|Wygląda, jakby ktoś przeciągał coś ciężkiego w stronę tarasu.|Ktoś ciągnął coś ciężkiego w stronę tarasu.
1812|Nilfgaardian Soldier 03|You were to stay here!|Temerian Woman 03|Ah, I will.|Temerian Woman 03|Mariella! Will you wait for me?|Mariella! Będziesz na mnie czekać?|Mariello! Czy na mnie poczekasz?
1813|Skellige Villager 04|||Aye, and he didn't drink much.|Skellige Old Woman 03|Agh, shame about Gretter. He was a good man.|Ech, szkoda Grettera, dobry chłop z niego był.|Ach, szkoda Grettera. On nie pił dużo.
1814|Skellige Fisherman 02|Ordinary folk never hear these things… till it's too late.|Geralt|Look, Erling. Told you we wasn't done for the day. Didn't even have to fish this one out.|Skellige Fisherman 01|We best get outta here, Matthias.|Zbieramy się stąd lepiej, Matthjas.|Najlepiej stąd spływajmy, Matthias.
1815|Baron|You still think me rotten to the core, a base bastard, don't you? You believe I alone am at fault for what happened here.|Baron|With Annie… it was love at first sight. A spear tore through my shoulder at the Battle of Anchor, she tended to my wound. Once I'd recovered, I asked her to marry me. She wept with joy.|Baron|And she's a servant to these Crones? What the devil does that mean?|I co to znaczy, że jest na służbie u wiedźm?|I ona jest służącą dla tych Kruków? Co to do diabła ma znaczyć?
1816|Talar|Who takes an interest in cobblers? No one.|Talar|Bollocks, mostly. But sometimes they'll say somethin' interestin'.|Talar|You sit there, doin' your work, hammerin' on that sole, and blokes beside you talk.|Spokojnie sobie pracujesz, a ludzie obok ciebie gadają.|Siedzisz tam, robiąc swoją robotę, waląc młotkiem w podeszwę, a chłopaki obok ciebie gadają.
1817|Geralt|||My father's ring… Philippa used it to stamp her decrees, then distribute them as the word of the king.|Radovid|I'm a professional, got a reputation to uphold. Be stupid of me to come to you empty-handed.|Jestem profesjonalistą, dbam o swoją reputację. Nie przychodziłbym do ciebie z pustymi rękoma.|Jestem profesjonalistą, mam reputację do utrzymania. Głupotą byłoby przychodzić do ciebie z pustymi rękami.
1818|Geralt|Eight!|Novigrad Boy 03|Now can we talk?|Geralt|In that case, wait a few years and I'll tell you.|No to pogadamy za kilka lat.|W takim razie poczekaj parę lat, a ja ci opowiem.
1819|Lambert|||Mhm… Still trouble ahead.|Geralt|Oof… Good to be back above ground.|Ufff... Dobrze wyjść na powierzchnię.|Mhm... Nadal czekają nas kłopoty.
1820|Baron|Ah, you won. A man's only as good as his word - take the card. I fear Velen's short on worthy opponents. Boat builder in Oreton might be one. There was also an old soothsayer, lived east of here near the windmill, last I heard.|Baron|||There's a lad... about as reasonable as an old mare, but he plays a devilish hand. In fact, I don't rightly know that you're ready for him.|Jest jeszcze jeden chłopak... Rozumu ma tyle co stara kobyła, ale grać potrafi jak nikt. Nie wiem czyś już na niego gotowy.|Jest chłopak... mniej więcej tak rozsądny jak stara klacz, ale gra diabelsko dobrze. W rzeczywistości nie jestem pewien, czy jesteś gotowa na niego.
1821|Verden Boy 01|||||Now quick, hide. You can sneak into the hut soon as Gran comes out.|Schowaj się, a jak babcia wyjdzie, to przekradnij się do chałupy.|Szybko, schowaj się. Możesz wślizgnąć się do chaty, gdy babcia wyjdzie.
1822|Dandelion|Oo, guess you're no stranger to fury, either.|Dandelion|What about our old friend Sigi Reuven? Been to see him yet?|Dandelion|Weeeell, can't say I regret the man's abrupt passing. Deserved it as much as he deserved that… awkward nickname.|Ale cóż, jakoś mi go nie szkoda. Zasłużył na to tak samo, jak na swój przydomek.|No cóż, nie mogę powiedzieć, żebym żałował nagłej śmierci tego człowieka. Zasłużył na nią tak samo, jak zasłużył na ten... krępujący przydomek.
1823|Skellige Warrior 05|Ooooooh.|Skellige Warrior 05|Ye seal fart!|Skellige Warrior 05|Aaaah!|Aaaa!|Aaaah!
1824|Novigrad Poor Woman 12|Achoo!|Novigrad Poor Woman 12|Aaah aaaah aaaaaah… mnyah.|Novigrad Poor Woman 12|Ah ah ah… chooo!|Aaaaa psik!|Ach, och, och... chuuuu!
1825|Novigrad Thug Strong 03|Sure we can't work this out?|Geralt|I pay you, you let me in.|Geralt|How's that?|Niby jak?|Jak to ma działać?
1826|Novigrad Thug Strong 01|||Disarm him, bind him tight.|Novigrad Thug Strong 03|Out. All of yous. Blood's about to flow.|Wynoście się wszyscy. Tu się poleje krew.|Rozbroić go, skrępować mocno.
1827|Halfling Man 02|Come now, old sport, we can't allow that! Who'd I wager with then, eh? Listen, here's what we'll do: we'll make one more bet. If you win, I'll pay your debts and we'll continue playing. What do you say?|Novigrad Rich Man 18|One worry at a time, old chum! Well, I'm off to place my bet.|Novigrad Rich Man 18|And if I lose?|A jak przegram?|A co jeśli przegram?
1828|Anabelle|My medallion started pulsating as soon as we started talking.|Geralt|You could be right. My fate is tied to the isle - I feel that. Perhaps because I'm heiress of these lands?|Anabelle|I don't know what you mean, but you do seem to know some things.|Nie wiem, o czym mówisz, ale... ty pewnie znasz się na tym.|Nie wiem, co masz na myśli, ale wydaje się, że rzeczywiście coś wiesz.
1829|Geralt|… or wield magic.|Yennefer|Any good looking women in that batch?|Lambert|Fine. I'll get Ciri, and recruit some allies. Bring everyone here. Got a few favors I can call in.|Dobrze. Sprowadzę tu Ciri... I sprzymierzeńców. Jest parę osób, u których mam dług wdzięczności.|Dobrze. Zabiorę Ciri i zwerbuję paru sojuszników. Przyprowadźcie tu wszystkich. Mam kilka przysług do odwdzęczenia.
1830|Verden Old Man 01|Again? Let me think on it.|Verden Old Man 01|Tree bark and green moss - sup on them, you'll live!|Verden Old Man 01|Then the lord came out to them and said…|Wtedy dziedzic wyszedł do nich i tako rzecze...|Wtedy pan wyszedł do nich i powiedział...
1831|Geralt|||||Now where the hell…?|Gdzie ona zniknęła?|Nan nan
1832|Novigrad Old Man 01|Not your hireling. Won't take your orders, don't need your advice.|Geralt|Crowds can spin out of control. Somebody's gotta keep the peace.|Geralt|You're not my hireling, that's true. But soooo uppity, afraid you need to die. Kill him!|Masz rację. Nie jesteś moim żołdakiem. Dlatego zginiesz. Zabijcie go!|Nie jesteś moim najemnikiem, to prawda. Ale taki jesteś nadęty, boisz się, że musisz umrzeć. Zabij go!
1833|Geralt|Take it, but… kill Luzi, promise me. She shouldn't suffer no more.|Novigrad Old Woman 01|Greetings, witcher.|Novigrad Old Woman 01|Farewell.|Bywaj.|Żegnaj.
1834|Novigrad Rich Man 02|Bouts are held in Novigrad, the Skellige Isles, and in Velen. Each region has its champion. But to face the said champion, you must first defeat three other contenders in that region.|Novigrad Rich Man 02|I wanna face O'Neill again.|Geralt|Defeat the champions of Velen, Skellige and Novigrad, and you'll win the prestigious title of Champion of Champions.|Ten, kto pokona czempionów Novigradu, Skellige i Velen, otrzyma zaszczytny tytuł Mistrza Mistrzów.|Pokonaj mistrzów Velenu, Skellige i Novigradu, a zdobędziesz prestiżowy tytuł Mistrza Mistrzów.
1835|Geralt|If I say it's because I like you, want what's best for you, would you believe me?|Dijkstra|Wise.|Dijkstra|No.|Nie.|Nie.
1836|Dandelion|||Calm down, Dandelion. We can't leave Dudu in Whoreson Junior's hands, you know that.|Cirilla|Got a bad feeling about this…|Mam złe przeczucia.|Uspokój się, Dandelion. Nie możemy zostawić Dudu w rękach Młodego Whoresona, dobrze o tym wiesz.
1837|Skellige Scribe 02|G-g-g-good day.|Skellige Scribe 02|Master?|Skellige Scribe 02|Nice to s-s-see you.|Miło was wi-wi-widzieć.|Miło cię widzieć.
1838|Cerys|||Don't intend to.|Geralt|There's another exit behind the barrels! But they're too heavy, we'll never move them!|Jest drugie wyjście, za beczkami! Ale są za ciężkie, nie przesuniemy ich...|Jest inne wyjście za beczkami! Ale są za ciężkie, nigdy ich nie ruszymy!
1839|Novigrad Boy 01|If I'm good, daddy'll take me sightseein' to the crematory!|Novigrad Boy 01|I don't believe you!|Novigrad Boy 01|You're jokin'!|No co ty?!|Żartujesz!
1840|Verden Scavenger 01|Told her time and again not to wander off on her own. She never listened.|Verden Woman 01|Me again. Here about your wife…|Geralt|I mustered some men folk to scour the woods. Nothin'.|Wziąłem kilku chłopów i przeczesaliśmy las. Ani śladu.|Zebrałem paru ludzi, żeby przeczesali las. Nic nie znaleźli.
1841|Elf Man 02|Haven't raced anyone that good in a while.|Geralt|||Haha. You're worthy opponents, you gave me wings!|Godni przeciwnicy mnie uskrzydlili!|Haha. Jesteście godnymi przeciwnikami, dodaliście mi skrzydeł!
1842|Yennefer|You two are acting strange…|Geralt|Yen and I, well, we talked and concluded…|Triss|Us? No…|My? Skąd...|Nas? Nie...
1843|Nilfgaardian Officer 01|Ah, yes. You witchers are said to be excellent trackers. If this is true, you may indeed be able to aid me.|Nilfgaardian Officer 01|Find my men, bring them back to camp. I will pay you well… as it stands in the notice and not a copper more, mind you. We must have order in the ledgers as well.|Nilfgaardian Officer 01|Some days ago I sent a unit of scouts to the wood across the lake. None has returned.|Kilka dni temu wysłałem oddział zwiadowców do lasu po drugiej stronie jeziora. Żaden z nich nie wrócił.|Kilka dni temu wysłałem oddział zwiadowców do lasu po drugiej stronie jeziora. Żaden nie wrócił.
1844|Keira Metz|||Do you intend to venture into Crookback Bog? You must tell me about it afterwards.|Keira Metz|Whew, at last. But it was worth it, right? You learned something about Ciri in the end, something important.|Uff, wreszcie. Ale chyba było warto, prawda? To znaczy... ostatecznie dowiedziałeś się czegoś o Ciri.|Czy zamierzasz udać się do Moczarów Kruków? Musisz mi potem o tym opowiedzieć.
1845|Geralt|Very well, then - if you won't bring Anna home, you might at least tell me how she landed in that blasted swamp.|Baron|What could I do? Cast myself at them and die a hero? Fuck a hero's death. Fuck death.|Baron|Can't help wondering why you made a deal. With the Nilfgaardians?|Zastanawia mnie, dlaczego ułożyłeś się z Nilfgaardczykami.|Nie mogę się nadziwić, dlaczego zawarłeś umowę. Z Nilfgaardianami?
1846|Geralt|||||Body's strangely contorted… This one was poisoned.|Ciało jest dziwne powykręcane... Umarł od zatrucia.|Ciało jest dziwnie powykręcane... Ten został otruty.
1847|Geralt|||Where's the Putrid Grove?|Geralt|Got a simple question. You're gonna give me a simple answer.|Zadam proste pytanie. Ty odpowiesz w prosty sposób.|Gdzie jest Zgniły Zagajnik?
1848|Witch Hunter 04|Beware, for you know neither the day nor the hour.|Witch Hunter 04|Beware, freak.|Witch Hunter 04|Get outta my sight.|Zejdź mi z oczu.|Usuń się z moich oczu.
1849|Temerian Woman 01|Help!|Temerian Woman 01|Mercy!|Temerian Woman 01|Aaaaaa!|Aaaaaa!|Aaaaaa!
1850|Triss|I dunno. Kovir seems so far away, end of the world, really.|Geralt|I'll be grandmaster of the Order of the Flaming Rose, you'll be High Priestess of Melitele. We'll live happily ever after, a horde of kids around us.|Geralt|Hmm. Maybe you're right… So how do you envision our future?|Hmm. Może masz rację... To jak ty widzisz naszą przyszłość?|Hmm. Może masz rację… Więc jak widzisz naszą przyszłość?
1851|Skellige Guard 03|How're things?|Skellige Guard 03|Aaaaa! Aaaaa!|Skellige Guard 03|Hey you!|Ej ty!|Hej ty!
1852|Temerian Peasant 01|Pelko Sambor, aged fifty, two children, a rye field, and one goat.|Redanian Officer 01|||Do what you will. I'm just sayin'.|Jak sobie chcecie. Ale ja mówiłem.|Rób co chcesz. Tylko mówię.
1853|Novigrad Thug Strong 14|Waitin' here with my prick in me hands.|Novigrad Thug Strong 14|Hey, wisarse, put that dagger away.|Novigrad Thug Strong 14|You prick!|Ty fiucie!|Ty dupku!
1854|Udalryk|||Remember me, Jarl?|Geralt|Worst possible claimant won. We'll all regret it, mark my words.|Najgorszy możliwy wybór. Wszyscy będziemy go żałowali.|Najgorszy możliwy pretendent wygrał. Wszyscy tego pożałujemy, zapamiętaj moje słowa.
1855|Geralt|||||Keira…?|Keira...?|Keira…?
1856|Dijkstra|Might've chosen a more secluded spot to plot an assassination.|Geralt|Besides, this venue's got a tradition in this domain. Might even consider it fabled. Falka planned her revolt here… by extension, King Vridank's murder, too.|Dijkstra|It's on everyone's mind, many'd like to do it, so there's nothing to fear.|Wszyscy tak o nim myślą, więc nie ma się czego bać.|To jest na ustach wszystkich, wielu chciałoby to zrobić, więc nie ma się czego bać.
1857|Novigrad Female Bard 03|"""A Changeling Rescued, or the Witcher's Triumph"" - quite the rousing little play."|Novigrad Female Bard 02|You needn't believe me, but even the Temple Guard's afraid to go out nights.|Novigrad Female Bard 03|The city weeps 'neath its veil of rain…|Miasto deszczem zapłakane...|Miasto płacze pod swoją zasłoną deszczu…
1858|Skellige Villager 02|Listen - it's our arena, got a wraith that haunts it. Damned if we know how to drive it off. Think you could manage?|Skellige Villager 04|Know anything about this specter? When'd it first appear?|Geralt|Greetin's.|Witaj.|Greetin's.
1859|Geralt|Now tell me - do you…? No, never mind.|Yennefer|Grumbling won't get us anywhere. All will be well. A curse? Please. Nothing a sorceress and a witcher couldn't handle.|Yennefer|The thing's clearly cursed - its mind is a jumble… Can't have anything resembling a normal conversation with it.|Gorzej, że na brzydalu ciąży jakaś klątwa, która odebrała mu rozum... Ciężko się z nim będzie dogadać.|Rzecz jest wyraźnie przeklęta - jej umysł to chaos... Nie można mieć z nią czegoś przypominającego normalną rozmowę.
1860|Chorus Novigrad|Do you renounce evil?!|Menge|May the Holy Flame of the Eternal Fire complete this cleansing, this purging of pestilence into purity!|Menge|We renounce it!|Wyrzekamy się!|My się go wyrzekamy!
1861|Geralt|I'm supposed to meet the servant at the fish market. Says he needs to explain everything face to face, but these days I can't be sure meeting him's a good idea.|Triss|Thank you.|Triss|Don't like this at all… But you seem determined - not about to let you deal with it alone.|Nie podoba mi się to wszystko, ale skoro się uparłaś, nie zostawię cię z tym samej.|Nie podoba mi się to ani trochę... Ale widzę, że jesteś zdeterminowana - nie zamierzam pozwolić ci samodzielnie się tym zajmować.
1862|Novigrad Rich Man 02|Where do ye want to go? Golden Sturgeon or the Seven Cats?|Novigrad Peasant 01|Heheh. Admit it. You've eyes for that servin' wench at the Cats.|Novigrad Peasant 01|I'll not set foot in the Sturgeon. The scum they employ to serve patrons there--|Mnie w Jesiotrze więcej nie zobaczą. Te ohydne męty, które tam podają...|Nie postawię stopy w Złotym Szczupaku. Ta hołota, którą tam zatrudniają do obsługi klientów --
1863|Lambert|Not that I don't trust this invisibility shit, but we should keep our distance from those creatures.|Lambert|Next time you get the feeling I'm about to piss off Merigold, make sure and knock me upside the head.|Lambert|That was amazing. Thanks.|Dzięki za pomoc.|To było niesamowite. Dzięki.
1864|Nilfgaardian Soldier 03|Yes, if only you'd done half what you promised!|Temerian Woman 03|You were to stay here!|Temerian Woman 03|I'll come back and take you to Nilfgaard.|Wrócę i zabiorę cię ze sobą do Nilfgaardu.|Wrócę i zabiorę cię do Nilfgaardu.
1865|Novigrad Poor Man 03|That's good. Word is Wiley's fallen out with the rest o' the Big Four.|Novigrad Poor Man 02|Not if he's got a daft high card up his sleeve…|Novigrad Poor Man 02|Goin' all in, then… Damned foolish bet.|Musi być albo bardzo głupi... Albo bardzo silny.|Stawiając wszystko na jedną kartę... Cholerna głupota.
1866|Novigrad Thug Strong 16|Shitmug!|Novigrad Thug Strong 16|Brought this on yourself, grayboy.|Novigrad Thug Strong 16|You craven?|Tchórzysz?|Jesteś tchórzem?
1867|Talar|See, were it just up to me, I'd spill it loud and proud. You're trustworthy, like no one else I know.|Talar|Right. Got you.|Geralt|But I'm not on my own, so blooming unilateral decisions are outta the question. Trap stays shut, I'm afraid.|Ale nie działam sam, więc nie mogę sam decydować. I trzymam gębę na kłódkę.|Ale nie jestem sama, więc jednostronne decyzje odpadają. Pułapka pozostaje zamknięta, obawiam się.
1868|Geralt|What're you doin' here? Sod off, vagrant… Folk're trying' to get some rest, see?|Novigrad Guard 02|Aegar, keep a lookout. Ciri and I'll try to get inside.|Geralt|Gotta find another way in.|Muszę znaleźć inne wejście.|Muszę znaleźć inną drogę wejścia.
1869|Eternal Fire Priest 17|For witches are evil's fountainhead!|Eternal Fire Priest 17|Freak! The dungeon, that's where you belong!|Eternal Fire Priest 17|They consort with cobolds and slurp the blood of babes!|Z kobodlami spółkuje, z dzieciątek krew spija!|One spółkują z goblinami i ssą krew niemowląt!
1870|Geralt|Actually, she'd caught my eye, so I let her win. I was counting on getting a prize after the contest.|Dandelion|Hah. That, my friend, is not your concern.|Dandelion|And? Did you?|I co? Udało się?|I co? Udało ci się?
1871|Geralt|||||Hoofed and horned - shoulda known it would be stubborn.|Co za uparte zwierzę.|Rogate i kopytne - powinienem był wiedzieć, że będzie uparte.
1872|Geralt|Enlighten me, please. Because I've still no notion what this is about. What the motive might have been.|Von Gratz|Fabian Meyer.|Coroner|It's a lead worth following. Any idea what his name was?|Warto byłoby jeszcze zbadać ten trop. Wiesz, jak on miał na imię?|To trop warty sprawdzenia. Czy masz jakiekolwiek pojęcie, jak on się nazywał?
1873|Geralt|||We want it to burn, got it?|Verden Scavenger 01|What's going on here? Why isn't anyone putting that out?|Co tu się dzieje? Dlaczego nikt tego nie gasi?|Chcemy, żeby to spłonęło, rozumiesz?
1874|Ambassador Var Attre|||The true authority in Novigrad is not the city council or the merchant's guild, but the Church of the Eternal Fire and the criminal underworld.|Ambassador Var Attre|That quill sharpened yet? Yes? Then transcribe.|Naostrzyłeś już to pióro? Tak? To zapisuj.|Prawdziwa władza w Novigradzie nie leży w rękach rady miejskiej ani gildii kupieckiej, ale w Kościele Wiecznego Ognia i świecie przestępczym.
1875|Nilfgaardian Officer 01|Haven't thrown me out yet. Haven't called the guards. So go ahead - what's your price?|Geralt|It's a deal. Some questions before I start. Know where the griffin has its lair?|Geralt|There is a griffin in the area. Slay it, and then I shall see what I can do.|Gdzieś w okolicy zalągł się gryf. Zabij go... A wtedy zobaczę, co da się zrobić.|Jest tu gryf. Zabij go, a potem zobaczę, co mogę zrobić.
1876|Skellige Woman 05|Run!|Skellige Woman 05|Mmmmm.|Skellige Woman 05|Save the children!|Ratujcie dzieci!|Uratujcie dzieci!
1877|Witch Hunter 04|Think Philippa's still here?|Geralt|Poxy mutant!|Witch Hunter 04|Can't rightly know. Sure, we searched a few caverns, but hidden nooks abound. If someone wanted to hide in here, they could, easily. Even if they weren't an owl.|Bo ja wiem? Niby przeszukaliśmy kilka pomieszczeń, ale tu jest mnóstwo zakamarków. Jakby chciała, to mogłaby się schować. Szczególnie w postaci sowy.|Nie mogę dokładnie stwierdzić. Tak, przeszukaliśmy kilka jaskiń, ale pełno tu ukrytych zakamarków. Gdyby ktoś chciał się schować, mógłby to zrobić bez trudu. Nawet jeśli nie byłby sową.
1878|Tamara|And you! Will you just stand there?! You hired this murderer!|Tamara|Come. Let us go.|Graden|Have you nothing to say?! Did you care that little for her? Not even… not a single tear…!|Nic nie powiesz!? To tak ci na niej zależało? Nawet... nawet jednej łzy...!|Czy nie masz nic do powiedzenia?! Czy aż tak mało ci na niej zależało? Nawet... ani jednej łzy...!
1879|Skellige Guard 02|What's that you're mutterin'?|Skellige Bandit 02|Ha! Cheers, mate.|Skellige Bandit 02|Kraken eat me goolies, lookie here.|A niech mnie kraken pochłonie.|Kraken jedzą moje goolies, patrz tutaj.
1880|Geralt|Hey… I think it worked.|Geralt|Igni.|Geralt|And the bracelet.|I bransoletę.|Igni.
1881|Irina Renarde|You're right. Just never thought I'd have to do something like this…|Geralt|So, about the Princess - small part, but an important one. Any idea who could play her?|Geralt|You'll be fine, dear. You need only strut on stage, great sword in hand, furl your brow, make some threatening faces, then deliver a few lines in a gravelly voice. Think you can manage?|Nic ci nie będzie. Masz tylko wyjść na scenę z wielkim mieczem, porobić groźne miny i wygłosić kilka kwestii głosem jak spod jaj. Chyba dasz radę?|Będziesz się świetnie czuł, kochanie. Musisz tylko paradować po scenie ze swoim wspaniałym mieczem, zmarszczyć brwi, zrobić kilka groźnych min, a potem wygłosić parę linijek chrapliwym głosem. Myślisz, że dasz radę?
1882|Novigrad Thug Strong 02|He's my gardener. I never go anywhere without him. He's good luck, you see.|Novigrad Nobleman 03|…|Geralt|Just no funny stuff, got it?|Tylko żebyś mi tu nic nie kombinował, jasne?|Tylko żadnych głupot, zrozumiano?
1883|Cerys|About how she's wound me tight around her finger?|Geralt|Few men would've had the courage.|Cerys|I was wrong to say that, wrong about you. The way you trusted me, a complete stranger almost - it was something.|Myliłam się co do ciebie... To, że mi zaufałeś, prawie obcej dziewczynie... To naprawdę było coś.|Myliłam się mówiąc to, myliłam się co do ciebie. Sposób, w jaki mi zaufałeś, prawie obcej osobie - to było coś.
1884|Ermion|||||Quickly! Follow me! We must neutralize the Mask, mute its power!|Szybko! Za mną! Musimy zneutralizować działanie Maski!|Szybko! Chodź za mną! Musimy unieszkodliwić Maskę, stłumić jej moc!
1885|Triss|||Sooner we get out of here, the better.|Geralt|I sure hope the other guests don't get drunk as quickly as I did!|Mam nadzieję, że goście nie upiją się aż tak szybko... jak ja!|Im szybciej stąd wyjdziemy, tym lepiej.
1886|Skellige Guard 01|||||Oh woe is me! Why? Why?|O ja nieszczęsny! Dlaczego? Dlaczego?|Oh biada mi! Dlaczego? Dlaczego?
1887|Geralt|How about that? You came here to fumble your way through an explanation, yet instead of enjoying the show, I went and did your job for you.|Yennefer|But now, enough of this maudlin business. We've something to do, remember?|Yennefer|Seems so.|Na to wygląda.|Wydaje się.
1888|Geralt|Knew there'd be trouble. It was all too calm.|Cerys|Might say he got his wish.|Cerys|Funny. Arnvald said the same. For a feast to be any good, mead's gotta flow, but so does blood.|Zabawne. To samo powiedział Arnvald. Że na dobrej uczcie i krew, i miód powinny się lać strumieniami.|Śmieszne. Arnvald powiedział to samo. Żeby uczta była udana, miód musi płynąć, ale krew też.
1889|Novigrad Poor Man 43|Good day!|Novigrad Poor Man 43|A diabolist.|Novigrad Poor Man 43|Regards.|Ukłony.|Pozdrawiam.
1890|Nilfgaardian Prologue 02|{Larwm! Aaaaaaa!}[Help! Aaaaaa!]|Nilfgaardian Prologue 02|We have much work to do here. Quite a lot.|Nilfgaardian Prologue 02|Out of my way!|Z drogi!|Usuńcie mi się z drogi!
1891|Elf Female 03|Vienne?|Geralt|We wanna see Jad Karadin.|Lambert|What do you want?|Czego chcecie?|Czego chcesz?
1892|Cirilla|Where are you going?|Avallach|Oh, yes… the Elder Blood can be fiery.|Avallach|For a walk. Or is that not allowed either? Because I could break my leg…|Na spacer. Tego też mi nie wolno? Bo jeszcze sobie nogę złamię?|Na spacer. Czy może też mi nie wolno? Bo mogę sobie złamać nogę…
1893|Geralt|Open its gut.|Geralt|Errr, bits of undigested food. A few decades worth, looks like. Human hair, a belt buckle, a few coppers… and a gold ring.|Eskel|So? Anything interesting?|No i jak? Coś ciekawego?|Co? Cokolwiek ciekawego?
1894|Novigrad Girl 31|I'm not afraid.|Novigrad Girl 31|I'm gonna be a mutant when I grow up, too!|Novigrad Girl 32|Run!|Uciekajcie!|Uciekaj!
1895|Skellige Villager 02|||What do you think? It is an island.|Geralt|H-how did ye get here?!|J-jak się tu dostałeś?!|Co masz na myśli? To jest wyspa.
1896|Novigrad Thug Weak 01|||Not our concern, mate.|Eternal Fire Guard 02|Grab her!|Brać ją!|Nie nasza sprawa, kolego.
1897|Skellige Bandit 03|Give us all you got!|Skellige Bandit 03|C'mon, lads, wallop 'im!|Skellige Bandit 03|Have at 'im!|Doskoczcie!|Bierzcie go!
1898|Novigrad Trader 01|Aaaargh!|Novigrad Thug Weak 37|Pfff.|Novigrad Trader 01|Can't afford a barber, let alone my wares.|Tego nawet na balwierza nie stać, a co dopiero na moje towary.|Nie stać mnie nawet na fryzjera, nie mówiąc już o moich towaramch.
1899|Geralt|||||These tracks're older. Somebody left the camp before the attack…|Te ślady są starsze. Ktoś odłączył się od obozu przed atakiem...|Te ślady są starsze. Ktoś opuścił obóz przed atakiem...
1900|Geralt|Give us a dozen griffins and a mass o' wyverns - me and the lads'll--|Lugos The Glaucous|Well. Maybe y'are worth a few silver… Fine, I'll take you with.|Lugos The Glaucous|You and your lads don't know a lick about monsters. Griffins and wyverns never share a habitat.|Ty i twoi chłopcy nie znacie się na potworach. Gryfy i wiwerny nigdy nie występują razem.|Ty i twoi chłopcy nie macie bladego pojęcia o potworach. Griffiny i wywerny nigdy nie dzielą siedliska.
1901|Vigi|||Shut up, you idiot…|Geralt|Get out of here! The whoreson's mine!|Wypuśćcie mnie! Ten bydlak jest mój!|Wynocha stąd! To mój drań!
1902|Baron Bandit Weak 02|||||If it's human speech you don't understand, I'll explain it with iron, you bastard.|Jak nie rozumiesz ludzkiej mowy, to ci wytłumaczę żelazem, skurwysynu.|Jeżeli nie rozumiesz ludzkiej mowy, wyjaśnię ci to żelazem, ty draniu.
1903|Chamberlain Emhyr|Your Archmagnificency?|Geralt|"""Your Majesty"" will suffice. Spoken loudly, clearly and with respect."|Chamberlain Emhyr|I see the gentleman is in the mood for jests. I fear the emperor might not share his disposition.|Widzę, że waszmość w humorze do żartów... Boję się, że cesarz może tej dyspozycji nie podzielać.|Widzę, że panowie są w nastroju do żartów. Obawiam się, że cesarz może nie podzielać ich usposobienia.
1904|Donar An Hindar|Why would we believe you, eh? You're a lackey to an Craite.|Lugos The Mad|Go on, Hjalmar.|Udalryk|And a witcher. He knows beasts, including those that take on human form.|I wiedźminem. Więc zna się na potworach. Także tych, co potrafią przybrać ludzki kształt.|I czarodziej. Zna bestie, w tym te, które potrafią przybierać ludzką postać.
1905|Skellige Villager 04|Ye see the bulls this year? Fancy tryin' to hunt one down?|Skellige Villager 04|Hmph!|Skellige Villager 04|Ye twistin' me oar?!|Kpisz, czy o drogę pytasz?|Czy ty mnie wkręcasz?
