|speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype|default
1446|Vesemir|||Performed a series of complex calculations… Extrapolated some data… Ran simulations…|Yennefer|You don't know who's trapped in Uma's body. How did you figure the proportions?|Jak wymierzyłaś proporcje, skoro nie wiesz, kto tkwi w ciele Umy?|Nie wiesz, kto jest uwięziony w ciele Umy. Jak obliczyłaś proporcje?|Nie wiesz, kto jest uwięziony w ciele Umy. Jak obliczyłeś proporcje?
1447|Folan|Not your lucky day, it seems. What happened next?|Geralt|Things seemed to calm.|Folan|We found that daft bugger in the ship, then pitched camp near the guard tower.|Dotarliśmy do tego szaleńca z okrętu i w końcu rozbiliśmy obóz przy wieży strażniczej.|Znaleźliśmy tego głupiego drania na statku, a potem rozbiliśmy obóz blisko wieży strażniczej.|Znaleźliśmy tego głupiego owada na statku, a potem rozbiliśmy obóz w pobliżu wieży strażniczej.
1448|Dandelion|Ciri…|Dandelion|Arrest that man!|Eternal Fire Priest 01|Dammit!|Zaraza!|Cholera!|Do licha!
1449|Elf Female 01|You… I remember you. From Tir ná Lia.|Cirilla|I know.|Cirilla|Remarkable. I thought all elves looked alike to those of your race. If it's Avallac'h you seek, he's not here.|Niebywałe. Myślałam, że dla was wszystkie elfy wyglądają tak samo. Jeśli szukasz Avallac’ha, tu go nie ma.|Niezwykłe. Myślałam, że wszystkie elfy wyglądają tak samo dla ludzi twojej rasy. Jeśli szukasz Avallac'ha, nie ma go tutaj.|Zdumiewające. Myślałem, że wszystkie elfy wyglądają tak samo jak ci z twojej rasy. Jeśli szukasz Avallac'ha, to go tu nie ma.
1450|Baron|You give the child a name?|Geralt|Mistake. Names are powerful seals.|Geralt|No… Why would we?|Nie... Skąd...|Dlaczego mielibyśmy to robić?|Nie... Dlaczego mielibyśmy?
1451|Yennefer|||Can't hold her hand if they're gonna take her seriously.|Geralt|Not going with her?|Nie poszedłeś z nią?|Nie idziesz z nią?|Nie idziesz z nią?
1452|Cirilla|Hmm, don't know about vanilla pudding. Could work, but nothing picks me up like Lambert's famous homebrew.|Geralt|||Suppose it can't kill me. Might as well try…|Nic mi już nie zaszkodzi...|Może mnie nie zabije. Równie dobrze mogę spróbować...|Przypuśćmy, że nie może mnie zabić. Równie dobrze mogę spróbować...
1453|Baron|When I learned you'd slaughtered my men, I thought to have you captured and hanged. Or at least flogged.|Baron|I'm not a thug for hire.|Geralt|But then I thought - one tough cocker if he bested that lot of cutthroats. Man like him could prove useful…|Ale potem pomyślałem, że mocny z ciebie chojrak, skoro dałeś im radę. Ktoś taki może mi się przydać...|Ale potem pomyślałem - jeden twardy gość, jeśli pokonał tych wszystkich oprychów. Taki człowiek mógłby się przydać...|Ale potem pomyślałem - jeden twardy seter, jeśli pokonał tę całą bandę szczurów. Taki człowiek mógłby się przydać...
1454|Skellige Villager 06|Dead, aye! And it's your doing!|Skellige Druid 01|||Dead because the woodland beast killed him.|Zginął, bo zabiła go bestia z lasu.|Martwy, bo leśne stworzenie go zabiło.|Martwy, ponieważ leśne zwierzę go zabiło.
1455|Skellige Old Man 02|Knew from the start no ordinary man could handle the beast. But Sverre insisted, mustered a crew and…|Skellige Old Man 02|I'll tend to the monster.|Geralt|Only four came back. The rest massacred, east of the village. So, will ye help?|Czterech ich wróciło. Resztę coś rozszarpało na wschód od wioski. To jak, pomożecie nam?|Czy więc mi pomożesz?|Tylko czterech wróciło. Resztę wymordowali na wschód od wioski. Więc pomożesz?
1456|Geralt|Oof… Good to be back above ground.|Lambert|Mean the trolls? They're in for trouble, not us.|Lambert|Mhm… Still trouble ahead.|Mhm... Ale to nie koniec kłopotów.|Mhm... Wciąż kłopoty przed nami.|Mhm... Nadal kłopoty przed nami.
1457|Redanian Soldier 01|Fine, I'll pay.|Geralt|I catch you extorting coin again, you'll go straight to the front. The eastern front.|Redanian Officer 01|That I understand. Exemplary patriotism, mate.|No, to rozumiem. Wzorowa patriotyczna postawa.|To rozumiem. Wzorowy patriotyzm, kolego.|Że rozumiem. Przykładny patriotyzm, kolego.
1458|Keira Metz|Gotta look for it alone. I should go to Crookback Bog. Think you can manage?|Geralt|I'll stop by. You can be sure.|Geralt|Of course I can. Best of luck to you.|Oczywiście, że sobie poradzę. I tobie też życzę powodzenia.|Oczywiście, że mogę. Powodzenia ci życzę.|Oczywiście, że mogę. Powodzenia.
1459|Geralt|You always say that.|Triss|Well, except for that one time.|Geralt|Haven't killed me yet.|I jak do tej pory mnie nie zabili.|Nie zabił mnie jeszcze.|Jeszcze mnie nie zabiło.
1460|Redanian Soldier 02|Calm down, Piet. They're just witches.|Redanian Soldier 03|You hear our latest orders?|Witch Hunter 01|Maybe. But they scream like you and me.|Może. Ale krzyczą jak zwykli ludzie.|Może tak. Ale one krzyczą tak jak ty i ja.|Może. Ale krzyczą tak jak ty i ja.
1461|Geralt|||Greetin's to you.|Verden Old Man 02|Greetings.|Witaj.|Witaj.|Pozdrowienia.
1462|Novigrad Thug Strong 02|You all right, darlin'?|Novigrad Prostitute 02|Ugh, see what you've done?! He's broken character now.|Novigrad Prostitute 02|This masquerade… just not a good idea, I don't think.|Ta przebieranka to chyba nie był dobry pomysł.|Ten maskaradowy bal... po prostu nie jest dobrym pomysłem, moim zdaniem.|Ten kamuflaż... po prostu nie jest dobrym pomysłem, myślę.
1463|Dudu Biberveldt|I've assumed many forms over the years, and in spite of all, life as a human has proven most interesting. After all, you humans rule the world.|Dudu Biberveldt|You've been Menge, now you're Whoreson Junior.|Geralt|Greetings.|Witaj.|Witaj.|Pozdrowienia.
1464|Dwarf Man 02|||||My forge! Burnt to the ground!|Moja kuźnia! Spłonęła!|Moja kuźnia! Spalona do fundamentów!|Mój kuźnia! Spalona do ziemi!
1465|Holger Blackhand|Why? Wherefore?|Lady Bran|You will. Later.|Lady Bran|Can't remember. But I knows he deserves it. I got to kill 'im.|Nie pamiętam. Ale na pewno sobie zasłużył. Muszę go zabić.|Nie mogę sobie przypomnieć. Ale wiem, że na to zasługuje. Muszę go zabić.|Nie pamiętam. Ale wiem, że na to zasłużył. Muszę go zabić.
1466|Redanian Soldier 02|||You're to sift through every inch, is that clear?! Every fucking mole hole!|Redanian Soldier 02|Deeper, now! Dig deeper!|Głębiej kopać, głębiej!|Głębiej, teraz! Kop głębiej!|Głębiej, teraz! Kop głębiej!
1467|Radovid|I have placed Junior in a mansion in Oxenfurt. Very few know this.|Radovid|Junior constantly requests fresh women. I hear he doesn't treat them well.|Radovid|They'll not let you in unannounced. Thus, you must tell them you've come about the new whores.|Nie będą chcieli cię tam wpuścić. Ale powiedz im, że przychodzisz w sprawie nowych dziwek.|Nie wpuszczą cię bez zapowiedzi. Dlatego musisz im powiedzieć, że przyszedłeś w sprawie nowych dziwek.|Nie wpuszczą cię bez zapowiedzi. Musisz więc powiedzieć im, że przyszedłeś w sprawie nowych dziwek.
1468|Geralt|||You're a wizard, right? Gonna show us some tricks when we get to the cottage?|Verden Girl 02|No one left hiding.|Nikt więcej już się nie chowa.|Nikt nie został w ukryciu.|Nikt nie pozostał w ukryciu.
1469|Geralt|Geralt… Do all you witchers have such nerve?|Dijkstra|Quite the opposite. Your reward… Earned it, all the same. Triss will get her coin as well, have her chance to fritter it away on foolish ideals.|Dijkstra|Whaddaya mean?|O co ci chodzi?|Co masz na myśli?|Co masz na myśli?
1470|Scoiatael Dwarf 01|Roamed the forests of Kaedwen, Vergen, and now the mouth of the Pontar. Wonder what's next.|Scoiatael Dwarf 01|Wanna whiff of me axe?|Scoiatael Dwarf 01|Fuckin' shit!|Kurwa żesz!|Kurwa mać!|Jebane gówno!
1471|Novigrad Peasant 32|What's the hurry?|Novigrad Peasant 32|Hey, now!|Novigrad Peasant 32|What's going on there?|Co się dzieje?|Co tam się dzieje?|Co się tam dzieje?
1472|Novigrad Nobleman 13|Oh, my. Greetings.|Novigrad Nobleman 13|Hard finding work here, you know. With the Eternal Fire burning and all that.|Novigrad Nobleman 13|Your reputation precedes you, Geralt.|Twoja sława cię wyprzedza, Geralt|Twoja reputacja Cię poprzedza, Geralt.|Twoja reputacja cię poprzedza, Geralcie.
1473|Yennefer|Mind if we, uh, never mention this again?|Geralt|Door's open. We'll proceed as soon as you've collected trophies of your kills.|Yennefer|Naturally.|Oczywiście.|Naturalnie.|Naturalnie.
1474|Geralt|||||Fresh footprints. Johnny ran through here - fleeing something.|Świeże ślady... Janek tędy uciekał.|Świeże ślady stóp. Johnny przebiegł tędy - uciekając przed czymś.|Świeże ślady stóp. Johnny przebiegł tędy - uciekając przed czymś.
1475|Skellige Woman 04|I'd rather… not talk about myself.|Cirilla|Someone might come looking for me. I wouldn't want to cause you any trouble.|Cirilla|Why's that?|Dlaczego?|Dlaczego tak jest?|Dlaczego tak jest?
1476|Geralt|||Silence. It's completely still.|Cirilla|Follow me. The Naglfar must be nearby.|Za mną. Naglfar musi być gdzieś blisko.|Chodź za mną. Naglfar musi być gdzieś blisko.|Podążaj za mną. Naglfar musi być gdzieś w pobliżu.
1477|Geralt|Your arms.|Redanian Soldier 02|Never seen better steel in my life. Blade must strike true, no?|Redanian Soldier 02|Thanks.|Dziękuję.|Dzięki.|Dziękuję.
1478|Navigator|I'm the one to ask! Me or Axel an Tordarroch. He's over there. What can a bloke from Ard Skellig know about Undvik?|Skellige Fisherman 02|Bahumum…|Skellige Fisherman 02|Heard you trillin' a different tune when Hjalmar was gatherin' his crew… Your love for the an Craite fade that quick?|Inaczej gadałeś, kiedy Hjalmar załogę zbierał... Już ci przeszła miłość do rodu an Craite, co?|Słyszałem, że śpiewałeś inną melodię, gdy Hjalmar zbierał swoją załogę... Twoja miłość do an Craite zgasła tak szybko?|Słyszałem, jak śpiewasz inną melodię, kiedy Hjalmar zbierał swoją załogę... Czy twoja miłość do klanu Craite zgasła tak szybko?
1479|Yennefer|At least that's what Rita implied.|Yennefer|Come, they're all waiting for us.|Yennefer|I don't like it. That was not our deal. When it's all over, I'll need to have a candid discussion with the emperor.|Nie podoba mi się to, nie tak się umawialiśmy. Jak to wszystko się skończy, będę musiała odbyć z cesarzem szczerą rozmowę.|Nie podoba mi się to. To nie była nasza umowa. Kiedy wszystko się skończy, będę musiała mieć szczerą rozmowę z cesarzem.|Nie podoba mi się to. To nie była nasza umowa. Kiedy wszystko się skończy, będę musiał mieć szczerą rozmowę z cesarzem.
1480|Skellige Fisherman 04|||||Next time squeeze your mount 'tween your knees and hold the reins short. Horse's gotta feel who's in charge.|Następnym razem mocniej konia kolanami ściśnij i krótko uzdę trzymaj. Musi czuć, kto tu rządzi.|Następnym razem ściśnij swojego wierzchowca między kolanami i trzymaj wodze krótko. Koń musi poczuć, kto tu rządzi.|Następnym razem ściśnij swojego wierzchowca między kolanami i trzymaj wodze krótko. Koń musi poczuć, kto jest szefem.
1481|Cirilla|||||The peasant folk of Velen call this night the Feast of Gifts. I've no idea why.|Chłopi z Velen nazywają tę noc Świętem Darów. Nie wiem dlaczego.|Nie mam pojęcia, dlaczego chłopi z Velen nazywają tę noc Ucztą Darów.|Chłopi z Velenu nazywają tę noc Ucztą Darów. Nie mam pojęcia dlaczego.
1482|Geralt|Aye, you got that righteous frown on you. Definitely.|Dwarf Sneezy|Aheheheh! Look at him, all offended! You'd think we showed him a picture of a naked lass.|Dwarf Doc|I don't want your coin.|Nie chcę waszych pieniędzy.|Nie chcę twojej monety.|Nie chcę twojej monety.
1483|Geralt|So what am I supposed to think about?|Triss|Ah, Geralt. You're so charming when you try to be funny.|Triss|Emhyr var Emreis. On parade. Completely naked.|Wyobraź sobie Emhyra bez ubrań.|Ach, Geralt. Jesteś tak uroczy, kiedy próbujesz być zabawny.|Emhyr był z Emreis. Paradował całkiem nagi.
1484|Geralt|||||They were looking for something…|Widać, że czegoś tu szukali...|Szukali czegoś...|Szukali czegoś...
1485|Hallgrim|Strong blood? What're you talking about?|Geralt|We've talked enough.|Hjalmar|I speak of the she-bear and her cub.|O niedźwiedzicy i jej młodym.|Mówię o niedźwiedzicy i jej młodym.|Mówię o niedźwiedzicy i jej małym.
1486|Yennefer|No wench'll teach me how to fight.|Lugos The Mad|Come, Geralt, I believe this discussion's run its course.|Yennefer|That was not my intention.|Faktycznie. Nie było to moim zamiarem.|To nie było moim zamiarem.|To nie była moja intencja.
1487|Baron Bandit Weak 01|Drinks enough for a whole platoon since his family disappeared.|Baron Bandit Weak 01|Horsefeathers!|Baron Bandit Weak 01|Slurps a jug o' charred spirit and don't even wince!|Na głodzie potrafi wyżłopać garniec przepalanki i nawet sie nie skrzywi!|Wychyla dzban spalonego ducha i nie krzywi się nawet.|Pociąga długi łyk z dzbana spalonego ducha i nawet się nie skrzywi!
1488|Dandelion|Geralt… I know I owe you, a hundred times over. But I need to ask you another favor. Find the bastard who did this.|Dandelion|Don't need any convincing.|Geralt|Find him and kill him.|Znajdź i zabij.|Znajdź go i zabij go.|Znajdź go i zabij.
1489|Geralt|Proof, Geralt. Give me proof.|Radovid|To the dungeon with him.|Radovid|Don't have any.|Nie mam.|Nie mam żadnych.|Nie mam żadnych.
1490|Geralt|Hjalmar kept blowin' his horn, but we'd come too close to the hillside and he brought an avalanche down on us.|Folan|We found that daft bugger in the ship, then pitched camp near the guard tower.|Folan|Not your lucky day, it seems. What happened next?|Rzeczywiście mieliście pecha. I co było potem?|Nie twój szczęśliwy dzień, jak się zdaje. Co stało się potem?|Nie twój szczęśliwy dzień, jak się wydaje. Co stało się potem?
1491|Elf Female 02|Akh akh akh…|Elf Female 02|Don't those swords poke you in the arse when you run?|Elf Female 02|Brrr.|Brrr.|Brrr.|Brrr.
1492|Novigrad Peasant 03|What's the problem?|Geralt|Shut it, Gottard. He could help.|Novigrad Peasant 01|Oh, nothin', on your way now, good man.|O nic, idź swoją drogą.|Oh, nic, ruszaj dalej, dobry człowieku.|Och, nic, już idziesz teraz, dobry człowieku.
1493|Geralt|Whatever you want to do…|Lambert|You know, Vesemir's right. You do poke the damn hive, almost always. Fine. Let's go.|Lambert|We'll investigate. Just in case.|Sprawdźmy to. Na wszelki wypadek.|Będziemy śledzić. Tylko na wszelki wypadek.|Zbadamy to. Tylko na wszelki wypadek.
1494|Redanian Soldier 04|The war has caused damages that must be repaired. Taxes shall henceforth be doubled.|Redanian Soldier 04|Bow before your new lord…|Nilfgaardian Soldier 01|All who remit payment to the treasury shall receive a note for the equivalent sum.|Za wszystkie opłaty na rzecz państwa ludność otrzyma ich równowartość w talonach.|Wszyscy, którzy dokonają wpłaty do skarbca, otrzymają pokwitowanie na równowartość tej sumy.|Wszyscy, którzy dokonują wpłaty do skarbca, otrzymają pokwitowanie na równoważną kwotę.
1495|Lambert|Next time you get the feeling I'm about to piss off Merigold, make sure and knock me upside the head.|Lambert|He's through!|Lambert|Bastard wants to break through, get inside!|Ten skurwiel chce się przebić siłą do środka!|Skurwiel chce się przedrzeć, dostać do środka!|Bękart chce się przebić, dostać do środka!
1496|Cirilla|Perhaps… But if so, it will be a very, very long time from now…|Cirilla|Hope you're right…|Geralt|And I'm certain whatever it is, he'll give me a choice. I will have the option to refuse.|I jestem pewna, że cokolwiek to będzie, da mi wybór. Będę mogła odmówić.|I jestem pewna, że cokolwiek to jest, on da mi wybór. Będę miała możliwość odmowy.|I jestem pewna, że cokolwiek to jest, da mi wybór. Będę miała możliwość odmówić.
1497|Redanian Officer 01|Put away your weapon.|Redanian Officer 01|Go away.|Redanian Officer 11|You've been warned.|Ostrzegałem.|Zostałeś ostrzeżony.|Zostałeś ostrzeżony.
1498|Skellige Druid 03|||||…!|!!!|Przez wiele lat studiowałem starożytne runy i sądzę, że odkryłem klucz do odblokowania ich prawdziwej mocy.|Niestety, nie otrzymałem żadnego tekstu do przetłumaczenia. Proszę podaj mi tekst, który chcesz, abym przetłumaczył na język polski.
1499|Novigrad Old Man 18|Wine's more expensive, whores're more expensive…|Novigrad Old Man 18|Oh, the fear we all suffered… But, Rejk's turned up his toes now and that's prime!|Novigrad Old Man 18|Not now, graygob.|Nie teraz, siwy.|Nie teraz, szary goblinie.|Nie teraz, szary goblinie.
1500|Geralt|Apart from which, I knew by then the curse was progressing, so instead of looking for Avallac'h, I decided to find you and Yen.|Cirilla|Right. Conventional means of travel. They're just better.|Cirilla|Got a boat on the beach. Once we land, we'll head for Kaer Morhen. On horseback.|Na brzegu czeka łódka, a potem musimy dotrzeć do Kaer Morhen. Konno.|Mam łódź na plaży. Gdy wylądujemy, ruszymy do Kaer Morhen konno.|Mamy łódź na plaży. Gdy wylądujemy, ruszymy do Kaer Morhen konno.
1501|Nilfgaardian Soldier 01|One, two, three - one, two, three - wayhey!|Baron|I don't care how you do it, but the deliveries must be weekly.|Nilfgaardian Soldier 01|Enough.|Dość.|Wystarczy.|Wystarczy.
1502|Chamberlain Emhyr|Please, this is neither the time nor the place for such antics.|Chamberlain Emhyr|This might come as news to the gentleman, but a towel wrapped around one's waist is not fitting attire for an audience.|Chamberlain Emhyr|The gentleman will watch carefully.|Niech waszmość patrzy uważnie.|Panowie będą uważnie obserwować.|Dżentelmen będzie uważnie obserwować.
1503|Novigrad Nobleman 01|I've a mind to let you win some back if you bring more coin.|Novigrad Nobleman 01|||I have no more money. Not a single crown…|Nie mam więcej pieniędzy. Ani korony...|Nie mam już żadnych pieniędzy. Ani jednej korony...|Nie mam już pieniędzy. Ani jednej korony...
1504|Letho|"""Them""? You know I work alone. Question is, what're you doing here?"|Geralt|Bravo, Geralt. Avoided all my traps.|Letho|Waiting for them. The ones trying to kill me.|Czekam na tych, którzy chcą mnie zabić.|Czekam na nich. Tych, którzy próbują mnie zabić.|Czekając na nich. Tych, którzy próbują mnie zabić.
1505|Succubus 01|You don't know what you're saying. She's cast a spell on you!|Skellige Druid 05|I see through your lies - your wretched charm won't work on me! I shall kill you here and now, monster!|Skellige Druid 05|Nonsense. I need no spell. These boys come 'ere themselves. In fact, I must use magic to drive them away, make them go home! Only Ramund was nice, so I let him stay.|Bzdura. Nie muszę rzucać uroku, żeby ci chłopcy do mnie przychodzili... Ja rzucam urok, żeby stąd poszli! Tylko Ramund był na tyle miły, że pozwoliłam mu zostać.|Nonsens. Nie potrzebuję żadnego zaklęcia. Ci chłopcy przychodzą tu sami. W rzeczywistości muszę używać magii, aby ich odpędzić, kazać im wracać do domu! Tylko Ramund był miły, więc pozwoliłam mu zostać.|Nonsens. Nie potrzebuję czarów. Ci chłopcy przychodzą tu sami. W rzeczywistości muszę użyć magii, aby ich przepędzić, zmusić do powrotu do domu! Tylko Ramund był miły, więc pozwoliłem mu zostać.
1506|Verden Old Man 03|Got what you asked for.|Geralt|I see a wolf, strivin' forward towards a solitary tower, 'midst a blizzard.|Verden Old Man 03|Thank ye, now I need a moment.|Dziękuję, dajcie mi chwilę.|Dziękuję ci, teraz potrzebuję chwili.|Dziękuję, teraz potrzebuję chwili.
1507|Dwarf Man 02|||Be sure and tell us when the rammy's due to start, eh?|Dwarf Man 02|Hey! White-hair!|Ej, białowłosy!|Hey! White-hair!|Cześć! Siwy włosie!
1508|Geralt|Is that so? Nice to hear. But… is there any particular reason you're telling me this?|Keira Metz|Ah… this is awkward. I mean, I'd gladly help, but I have a few more things to tend to in this charming dung hole.|Keira Metz|Well, the Wild Hunt'll know I've found her when I do. They'll attack. Want you to help me repel them.|Dziki Gon dowie się, że ją znalazłem i zaatakują nas. Chcę, żebyś pomogła mi w obronie.|Dobrze, Dziki Gon pozna, że ją odnalazłem, gdy to zrobię. Będą atakować. Chcę, żebyś mi pomogła ich odeprzeć.|Dobrze, Dzika Łowczyni będzie wiedzieć, że ją znalazłem, kiedy to zrobię. Zaatakują. Chcę, żebyś mi pomógł odeprzeć ich atak.
1509|Redanian Soldier 03|||My grandad once returned from his travels with a book. Fetched enough to buy him a home.|Redanian Townsman 03|A book? You mean to patch a henhouse?|Księga? Kurnik będziecie uszczelniać?|Książka? Chyba chcesz nią załatać kurnik?|Książka? Chodzi o załatanie kurnika?
1510|Baron|No thanks. Didn't come here to drink.|Geralt|Before the war, there was a distillery nearby, best in Velen. But the whoresons burnt it to the ground.|Baron|Hmph. As you will. But I'll not sit here adry, if you don't mind.|Jak chcesz. Ja tam nie lubię siedzieć o suchym pysku.|Hmph. Jak sobie chcesz. Ale nie zamierzam siedzieć tu bezczynnie, jeśli ci to nie przeszkadza.|Hmph. Jak sobie chcesz. Ale nie będę tu siedzieć bezczynnie, jeśli ci to nie przeszkadza.
1511|Geralt|||||Sverre and his crew were attacked here. Should look around.|Tutaj zaatakował Sverrego i jego ludzi. Trzeba się rozejrzeć.|Sverre i jego załoga zostali zaatakowani tutaj. Lepiej się rozejrzeć.|Sverre i jego załoga zostali zaatakowani tutaj. Trzeba się rozejrzeć.
1512|Geralt|An illusion… Who woulda thunk?|Lambert|No, I will not. In fact, whole world should hear about the time the famed Geralt of Rivia was duped like a child. Think we oughta get Dandelion to write a ballad about it. How's that sound?|Lambert|You're not gonna let this drop anytime soon, are you?|Ech... Coś mi mówi, że prędko nie odpuścisz.|Nie dasz temu spokoju, co?|Nie pozwolisz temu upaść w najbliższym czasie, prawda?
1513|Verden Peasant 01|Mercy…|Verden Peasant 01|Reckon you'll ever have any grain to sell?|Verden Peasant 01|Merciful Verna!|Verno Miłosierna!|Łaskawa Verna!|Litościwa Verna!
1514|Geralt|Is there anything to be done, a remedy for this?|Novigrad Nobleman 03|Truly? Why, the estate's price just spiked sharply. What precisely was the problem?|Novigrad Nobleman 03|House shouldn't give you any more trouble. A little renovation and it should be fit for you to move into.|Nie powinno być więcej problemów z tym domem. Mały remont i można się wprowadzać.|Dom nie powinien już sprawiać ci żadnych problemów. Trochę renowacji i powinien być gotowy do zamieszkania.|Dom nie powinien już sprawiać ci więcej kłopotów. Mała renowacja i powinien być gotowy do zamieszkania.
1515|Cerys|They've seated us here.|Yennefer|We've met. Don't remember?|Geralt|I asked them to. Wanted to meet the notorious witcher Geralt.|Sama o to poprosiłam – chciałam poznać sławetnego wiedźmina Geralta.|Poprosiłam ich o to. Chciałam spotkać sławnego wiedźmina Geralta.|Poprosiłem ich o to. Chciałem spotkać sławnego wiedźmina Geralta.
1516|Geralt|Horses have always fascinated me. I've always longed to extoll their noble beauty… Did you see any of my work at Dandelion's? Mere exercises, true, but I'd be curious to know what you thought of them.|Marabella|"""Gee-up! Her snakely whip rose skyward. Gee-haw! Crack! She reined the beast in!"""|Marabella|Uhh… No, no, didn't see any.|Yyy... nie, nie widziałem.|Uhh... Nie, nie widziałem żadnych.|Uhh... Nie, nie widziałem żadnego.
1517|Baron Bandit Strong 03|Ploughin' wizard!|Baron Bandit Strong 03|Grrr…|Baron Bandit Strong 03|Son of a whore!|Kurwi syn!|Syn dziwki!|Syn dziwki!
1518|Chamberlain Emhyr|Feels more like I'm being readied for a wedding.|Geralt|That an ongoing alliance? What's Letho up to?|Geralt|Were that so, I would have prepared the gentleman a frock, a tailcoat, or possibly a dinner jacket. In point of fact, the gentleman will choose from these garments.|Wtedy przygotowałbym waszmości surdut, frak bądź ewentualnie tużurek. Tymczasem waszmość ma do wyboru te szaty.|Gdyby tak było, przygotowałbym dla pana sukienkę, surdut lub może smoking. W rzeczywistości to pan będzie mógł wybrać jeden z tych strojów.|Gdyby tak było, przygotowałbym panu frak, surdut lub ewentualnie smoking. W rzeczywistości pan wybierze jedno z tych ubrań.
1519|Geralt|How might I serve the gentleman?|Chamberlain Emhyr|Citrus and cloves. The fragrance will keep the gentleman's robes fresh somewhat longer.|Chamberlain Emhyr|By returning my things.|Oddając moje rzeczy.|Przez oddanie moich rzeczy.|Poprzez zwrócenie moich rzeczy.
1520|Geralt|Hah… What're my chances? With these wounds?|Novigrad Rich Man 02|No. Rather make sure this was our last meeting.|Geralt|Not high. So long.|Niewielkie. Żegnam.|Nie są wysokie. Żegnaj.|Nie wysoki. Długi czas.
1521|Geralt|Thanks.|Geralt|Help? Casting my babe in an oven?!|Udalryk|What Cerys did - don't hold it against her. She wanted to help, banish the voices that haunt you.|Nie miej Cerys za złe tego, co zrobiła. Chciała ci pomóc odegnać głosy, które cię prześladują.|To, co zrobiła Cerys - nie miej jej tego za złe. Chciała ci pomóc, pozbyć się głosów, które cię prześladują.|Co zrobiła Cerys - nie miej jej tego za złe. Chciała pomóc, przepędzić głosy, które cię prześladują.
1522|Skellige Warrior 03|I hear Olaf's been off meat for two days.|Skellige Warrior 02|But he's had a helluva lotta mead.|Skellige Warrior 02|And when he's hungry, he's angry.|A on jak głodny, to zły.|A gdy jest głodny, robi się zły.|A gdy jest głodny, jest zły.
1523|Redanian Soldier 01|Right, what do I know. I'm just a witcher.|Geralt|Brave soldiers, don't push, or it'll-- Whoa, watch out!|Novigrad Thug Strong 01|Hold on, now! If that's no basilisk, but some weevern, what did I pay for? Give me back my coin, cheat!|Hola, hola! Jak to nie bazyliszek, tylko jakaś wiwerna, to za co ja płaciłem? Oddawaj pieniądze, oszuście!|Poczekaj, teraz! Jeśli to nie jest bazyliszek, ale jakiś weevern, za co ja zapłaciłem? Oddaj mi moją monetę, oszuście!|Poczekaj chwilę! Jeśli to nie jest bazyliszek, ale jakiś weevern, za co ja zapłaciłem? Oddaj mi mój pieniądz, oszuście!
1524|Geralt|Wake up.|Geralt|C'mon, get up.|Geralt|Wake up.|Wstawaj.|Obudź się.|Obudź się.
1525|Geralt|Darling, when I'm able to make use of someone, I always do. It's convenient.|Dijkstra|Of course I'm scared… Bloody dangerous whoreson. Triss would concur, I think.|Dijkstra|And safe… Come on, admit you're scared of Menge.|I bezpieczne... Może przyznasz, że boisz się Mengego?|I bezpieczne... Przyznaj, że boisz się Menge.|I bezpieczny... No dalej, przyznaj się, że boisz się Menge.
1526|Geralt|I'm quite alive and extraordinarily well, Geralt of Rivia. Better than I've ever been in this rotten life of mine. And now that you've seen me, I bid you farewell.|Tamara|We've nothing more to talk about.|Tamara|Wait…|Zaczekaj...|Poczekaj…|Poczekaj...
1527|Skellige Villager 02|If Sven's father were alive, he'd give that boy's rump a good strappin'.|Skellige Old Woman 01|What's he know? Used to be youngsters knew their place and kept quiet.|Skellige Old Man 01|What if Sven's talkin' sense? Maybe the elders are to blame for this?|A może Sven ma rację? Może to wina starszyzny?|A co jeśli Sven mówi z sensem? Może winę ponoszą starsi za tę sytuację?|A co jeśli Sven mówi z sensem? Może winę ponoszą starsi?
1528|Geralt|Bring our young damsel to the lower courtyard. She wants to practice? She'll get to practice.|Vesemir|Why the hell not? The whippersnapper refuses to do as she's told.|Vesemir|Don't get mad at her.|Nie wściekaj się na nią.|Nie złość się na nią.|Nie złość się na nią.
1529|Novigrad Thug Strong 32|Wise guy, eh?|Novigrad Thug Strong 32|Not jarred-off easily, eh?|Novigrad Thug Strong 33|Bloody hell.|Kurwa mać.|Cholera jasna.|Cholera jasna.
1530|Verden Bandit 05|Bloody hell! You fucking dimwit! I hadn't time to exchange two words with the man!|Nilfgaardian Soldier 03|We have no quarrel with you, but one false move and--|Nilfgaardian Soldier 03|He provoked me!|Sprowokował mnie!|Prowokował mnie!|On mnie sprowokował!
1531|Yennefer|I might've waited until you found me, but… you know me. Patience has never been my strong suit.|Yennefer|Sorry… Wasn't expecting to see you. To be honest, this isn't at all how I imagined we'd meet.|Geralt|It's… good to see you, Geralt. I… I'd even embrace you… were you not covered in blood.|Dobrze cię widzieć, Geralt. Jeszcze lepiej byłoby cię uścisnąć... Gdyby nie to, że jesteś cały we krwi.|To... miło cię widzieć, Geralt. Ja... ja nawet bym cię uściskała... gdybyś nie był pokryty krwią.|To miło cię widzieć, Geralt. Ja... ja nawet bym cię uściskała... gdybyś nie był pokryty krwią.
