speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype1|dialog_prototype2|default
Redanian Officer 01|You post the notice?|Geralt|Will you tend to the monster or not?|Redanian Officer 01|I did, indeed. Hans of Cidaris, mercenary captain. Know of a monster that needs slaying. You interested?|Tak, ja! Hans z Cidaris, kondotier. Mam potwora do zabicia. Zainteresowany?|Tak, zamieściłem ogłoszenie. Hans z Cidaris, kapitan najemników. Słyszał o potworze do ubicia. Jesteś zainteresowany?|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Zrobiłem to rzeczywiście. Hans z Cidaris, kapitan najemników. Słyszałem o potworze do zabicia. Jesteś zainteresowany?
Scoiatael Elf Woman 32|Ready to die, witcher?|Scoiatael Elf Woman 32|What a prick!|Scoiatael Elf Woman 32|Death awaits us all. All.|Wszystkich nas czeka śmierć. Wszystkich.|Śmierć czeka nas wszystkich. Nas wszystkich.|Śmierć czeka nas wszystkich. Nas wszystkich.|Śmierć czeka nas wszystkich. Wszystkich.
Crach|I heard a rumor - that an unnatural frost gripped Undvik before the giant appeared.|Yennefer|My son gathered a hearty crew at the New Port. They were to sail to Undvik, then travel on foot to Urskar, a village. But that many lads should've killed the giant long ago. Thus I though to ask you…|Crach|Tis true. At any rate, Hjalmar decided to kill the giant and give the isle back to its people. A deed worthy of a king, he believes.|To prawda. W każdym razie Hjalmar uznał, że zabicie giganta i oddanie wyspy ludziom jest czynem godnym króla.|To prawda. W każdym razie Hjalmar postanowił zabić olbrzyma i oddać wyspę jej mieszkańcom. Czyn godny króla, uważa.|To prawda. W każdym razie Hjalmar postanowił zabić olbrzyma i oddać wyspę jej mieszkańcom. Czyn godny króla, uważa.|To prawda. Tak czy inaczej, Hjalmar postanowił zabić olbrzyma i oddać wyspę jej mieszkańcom. Czyn godny króla, sądzi.
Geralt|I've not even peeked inside since… since they found Fabian. But I'll open it for you if you want.|Dwarf Man 03|Begone! Or I'll sick me hounds on ye! Mauler! Striga! Come!|Dwarf Man 03|Anyone home?|Jest tam kto?|Ktokolwiek jest w domu?|Begone! Or I'll sick me hounds on ye! Mauler! Striga! Come!|Czy ktoś jest w domu?
Scoiatael Woman 01|Vedrai! Enn'le!|Scoiatael Woman 01|Veloë! Take him from behind!|Scoiatael Woman 01|Who wishes to die?|Kto dziś chce umrzeć?|Kto pragnie umrzeć?|Kto pragnie umrzeć?|Kto chce umrzeć?
Novigrad Thug Weak 01|Misunderstanding. Sorry.|Geralt|Why the hell're you followin' me?|Novigrad Thug Weak 01|I should bloody well say so.|No ja kurwa myślę.|To ja powinienem tak powiedzieć.|To nieporozumienie. Przepraszam.|Powinienem cholernie dobrze tak powiedzieć.
Novigrad Trader 02|Just how far south does this fabric come from?|Novigrad Citizen Man 01|You didn't answer the question.|Novigrad Citizen Woman 02|The latest cuts and colors.|Najnowsze kroje i kolory.|To najnowsze cięcia i kolory.|To najnowsze cięcia i kolory.|Najnowsze cięcia i kolory.
Geralt|Decide quickly, please. There's a race about to begin.|Novigrad Rich Man 01|They're run as per Erasmus Vegelbud's dying wish. He came into his fortune by gambling and remained proud of the fact to the end.|Novigrad Rich Man 01|These races - tell me about them.|Opowiedz mi o tych wyścigach.|Te wyścigi - opowiedz mi o nich.|Te wyścigi - opowiedz mi o nich.|Te wyścigi - opowiedz mi o nich.
Novigrad Poor Man 02|Amateur!|Novigrad Poor Man 02|Shit, shit, shit.|Novigrad Poor Man 02|Hey!|Ejże!|Hej!|Hej!|Cześć!
Novigrad Peasant Woman 02|Cleaver's is bigger, he's hung like a horse.|Novigrad Peasant Woman 01|"Gudrun calls it ""Uroboros."""|Novigrad Peasant Woman 02|Hehehe, clear that you've not seen Reuven's…|Hi, hi. Nie widziałaś Reuvena?|Hehehe, widzę żeście chyba nie widziały Reuvena...|Hehehe, widzę, że nie widziałeś...|Hehehe, jasne że nie widziałeś...
Skellige Warrior 03|Tarald of Lofoten entered the cave last spring. Hollered so loud they heard 'im in Kaer Trolde.|Skellige Warrior 02|Anyone try those herbs?|Skellige Warrior 03|Might be he saw what awaited his village…|Może zobaczył, co czekało jego wieś...|Może widział co spotkało jego wieś...|Może widział co spotkało jego wieś...|Może zobaczył, co czekało jego wioskę…
Novigrad Nobleman 01|No. Facts interest me, not fairytales.|Novigrad Nobleman 01|Once more. There are four factions--|Novigrad Nobleman 01|Ah, you return! Shall I deal?|O, wróciłeś! To jak, zagramy partyjkę?|Ach, wracasz! Czy mam rozpocząć rozgrywkę?|Ach, wracasz! Czy mam rozpocząć rozgrywkę?|Ach, wracasz! Czy mam rozdawać?
Witch Hunter 02|||||Huh. Set our sights on other fowl, but you'll do just fine.|No, proszę. Na innego ptaszka szykowaliśmy sieci, ale i ten będzie dobry.||Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Huh. Skierujmy nasze wysiłki na inne cele, ale poradzisz sobie doskonale.
Geralt|How's it going?|Yennefer|Strictly speaking, I'm not reading your mind, but using telepathy.|Yennefer|Yen, you know I hate it when you read my mind.|Yen, wiesz, że nie lubię, jak mi czytasz w myślach.|Yen, ty wiesz, że nienawidzę, gdy czytasz mi w myślach.|Strictly speaking, I'm not reading your mind, but using telepathy.|Yen, wiesz, że nienawidzę, kiedy czytasz w moich myślach.
Geralt|Geralt? Will you help?|Blacksmith Woman|Please. If you don't, I'll never prove I'm the master artisan, and that Fergus is nothing but a fraud.|Blacksmith Woman|Got you your acid, but that's where I draw the line. Not about to risk my life again.|Zdobyłem dla ciebie kwas, ale na tym koniec. Nie mam zamiaru ryzykować życia.|Dostałam swój kwas, ale dalej się nie posunę. Nie zamierzam znów ryzykować życia.|Proszę. Jeśli tego nie zrobisz, nigdy nie udowodnię, że jestem mistrzynią rzemiosła, a Fergus to zwykły oszust.|Mam dla ciebie kwas, ale tu przebiega granica. Nie zamierzam znów ryzykować swojego życia.
Skellige Priestess 01|||||Gods bless King Hjalmar!|Błogosław królowi Hjalmarowi!|Boże błogosław króla Hjalmara!|Gods bless King Hjalmar!|Niech Bóg błogosławi króla Hjalmara!
Eskel|This one was quicker than most. Quicker and stronger. Wanna examine it thoroughly.|Eskel|Hey there, Geralt.|Eskel|Not sure I'd 'ave managed without the alchemist's help.|Gdyby nie pomoc tej alchemiczki... Nie wiem, czy bym dał radę.|Nie jestem pewien, czy poradziłbym sobie bez pomocy alchemika.|Nie jestem pewien, czy poradziłbym sobie bez pomocy alchemika.|Nie jestem pewien, czy poradziłbym sobie bez pomocy alchemika.
Geralt|That's normal. The hym was a parasite. Bonds between parasites and hosts can be strong. That's why you feel empty now.|Geralt|Thank you… I think. Farewell.|Udalryk|Give it a few days, weeks, you'll be fine.|Ale bez obaw – minie kilka dni, może tygodni i będziesz zdrów.|Daj sobie parę dni, tygodni, będzie dobrze.|Łatwo rozpoznana. Jestem z tego dumna, nigdy nie zamierzałam tego ukrywać.|Daj sobie kilka dni, tygodni, wszystko będzie dobrze.
Verden Woman 03|Then he herded 'em in a stable… set that alight! Word is they squealed like swine goin' to slaughter…|Verden Old Woman 02|Aye, idiot tale. What'd the stable do to the baron anyways?|Verden Woman 04|I heard it were the baron who's a swine for hooch. Too soused most times to herd anythin'.|Ja słyszałam, że jak prosię to Baron się spił. I nikogo nigdzie nie zaganiał.|Słyszałam, że baron to świnia od gorzały. Zazwyczaj zbyt pijany, żeby zajmować się czymkolwiek.|I słyszałam, że baron to świnia od gorzały. Zazwyczaj zbyt pijany, by zagonić cokolwiek.|Słyszałem, że to baron jest świnią za gorzałą. Zbyt pijany większość czasu, by zebrać cokolwiek.
Celina|You look after these kids?|Geralt|Gran's good to us. Gonna be soup with scratchings for supper!|Verden Boy 01|They're my grandchildren.|To są moje wnuczki.|To moi wnukowie.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|To są moje wnuki.
Donar An Hindar|So on the Continent they raise temples… to fire?|Skellige Warrior 05|And water - it get its own tabernacle? Or air?|Skellige Warrior 05|Aye, they do. Don't know the real gods.|Ano, wznoszą. Nie znają tam prawdziwych bogów.|Tak, robią. Nie wiedzą o prawdziwych bogach.|Tak na Kontynencie budują świątynie... ognia?|Tak, robią to. Nie znają prawdziwych bogów.
Verden Woman 05|||No, I did, but…|Geralt|You didn't find him?|Nie znalazłeś go?|Nie znalazłaś go?|Nie znalazłaś go?|Nie znalazłeś go?
Verden Ghost Peasant  M 01|I'd sooner burn the vermin. Releasing 'em's not like to bring no good.|Verden Ghost Peasant  M 01|Swam? Rats? How d'ye figure they'd do that?|Verden Ghost Peasant M 02|Imagine the harm they'd do if they swam back to the village.|Jeszcze przepłyną do wioski i szkody narobią.|Wyobraź sobie szkody, które by wyrządzili, gdyby popłynęli z powrotem do wioski.|Wyobraź sobie szkody, które by wyrządzili, gdyby popłynęli z powrotem do wioski.|Wyobraź sobie szkody, jakie by wyrządzili, gdyby popłynęli z powrotem do wioski.
Verden Peasant 03|Will ye hunt the monster? Though I cannot say what nature o' beast it is.|Verden Peasant 03|It was a grave hag. Made its lair nearby.|Geralt|Somethin' prowls the graveyard nights. Young 'uns from the village 'ave gone missin'. But what's done it - I've nary a clue.|Cosik na cmentarzu nocami grasuje, dzieci z wioski giną, ale co to się tam ulęgło, ja nie wiem.|Coś grasuje po cmentarzu nocami. Młodzież ze wsi gdzieś przepada. Ale co to jest - nie mam bladego pojęcia.|Coś grasuje po cmentarzu nocami. Młodzież ze wsi gdzieś przepada, ale co to robi - nie mam bladego pojęcia.|Coś się czai po cmentarnych nocach. Znikają młodzi z wioski. Ale co to robi - mam niewiele pojęcia.
Crach|Any last words?|Eredin|No. I'm enjoying this. You are my toy.|Eredin|Haven't killed me yet.|Jeszcze mnie nie zabiłeś.|Jeszcze mnie nie zabiłeś.|Jeszcze mnie nie zabiłeś.|Jeszcze mnie nie zabiło.
Radovid|I want to break the chessmen open, squeeze the truth from them.|Radovid|Yes, Sire, believe I do.|Geralt|Do you see what I mean?|Wiesz o co mi chodzi?|Tak, Wasza Wysokość, chyba rozumiem.|Tak, Wasza Wysokość, chyba rozumiem.|Czy widzisz, co mam na myśli?
Baron Bandit Strong 03|Wonder if he keeps an extra prick in his trousers, too.|Baron Bandit Weak 02|Gonna say who you are, or do I need to loosen your tongue with me knife?|Baron Bandit Strong 03|You fuckin' deaf?|Ty, kurwa, głuchy jesteś?|Ty głupi chuju.|Jesteś głuchy jak pień?|Jesteś głuchy jak pień?
Geralt|Good day to you, sir. Need somethin'?|Verden Woman 05|||Farewell.|Bywajcie w zdrowiu.|Żegnaj.|Żegnaj.|Żegnaj.
Verden Peasant 02|A few times folk from 'round here gathered to chop down the trees and burn the cursed soil back to use. None returned.|Verden Peasant 02|I'm supposed to help solve your problem. Tell me what it is - just the essentials.|Geralt|The ground 'neath the weeds is white with human bones.|Grunt pod trawą jest biały od ludzkich kości.|Ziemia pod chwastami jest biała od ludzkich kości.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Ziemia pod chwastami jest biała od ludzkich kości.
Novigrad Peasant Woman 02|Will you go to the chapel with me the night?|Novigrad Peasant Woman 02|How's the gut feel today?|Novigrad Peasant Woman 02|Cor blimey…|Jasny gwint...|Ojej...|Ojej...|O rany...
Geralt|||||Who said old age is a burden?|A mówią, że starość nie radość.|Kto powiedział, że starość to ciężar?|Kto powiedział, że starość to ciężar?|Kto powiedział, że starość jest ciężarem?
Geralt|And guess who's the guest of honor.|Cirilla|Imlerith.|Cirilla|Dunno, enlighten me.|Nie wiem, oświeć mnie.|Nie mam pojęcia, oświeć mnie.|Nie mam pojęcia, oświeć mnie.|Nie wiem, oświeć mnie.
Chamberlain Emhyr|||Please keep close. There are many honorable guests in the palace, whom the gentleman…|Chamberlain Emhyr|Follow me, if the gentleman pleases.|Waszmość pozwoli za mną.|Proszę za mną, jeśli pan pozwoli.|Proszę za mną podążyć, jeśli pan pozwoli.|Proszę za mną, jeśli pan pozwoli.
Triss|Can't help but agree. But no - notice how he didn't try to haggle?|Geralt|Triss… He's a merchant. He makes his living by haggling.|Geralt|Must really want the rats out.|Widocznie bardzo mu zależy na odszczurzeniu.|Musi naprawdę chcieć pozbyć się szczurów.|Musi naprawdę chcieć pozbyć się szczurów.|Muszę naprawdę chcieć pozbyć się szczurów.
Novigrad Peasant 33|You in a hurry?|Novigrad Peasant 33|All we need now is a storm.|Novigrad Peasant 34|Where's my axe?|Gdzie siekiera?!|Gdzie moja siekiera?|Gdzie moja siekiera?|Gdzie jest mój topór?
Geralt|Maybe I oughta try the lamp?|Geralt|All right… That's done.|Geralt|Must be Jackamar's grave.|To chyba grób Jaczemira...|To musi być grób Jackamara.|To musi być grób Jackamara.|To musi być grób Jackamara.
Novigrad Old Man 01|Not your hireling. Won't take your orders, don't need your advice.|Geralt|Crowds can spin out of control. Somebody's gotta keep the peace.|Geralt|You're not my hireling, that's true. But soooo uppity, afraid you need to die. Kill him!|Masz rację. Nie jesteś moim żołdakiem. Dlatego zginiesz. Zabijcie go!|Nie jesteś moim najemnikiem. Nie będę ci wydawać poleceń, nie potrzebuję twoich rad.|Nie jesteś moim najemnikiem. Nie będziesz wykonywać moich poleceń, nie potrzebuję twoich rad.|Nie jesteś moim najemnikiem, to prawda. Ale jesteś tak strasznie nadęty, boisz się, że musisz umrzeć. Zabij go!
Letho|Hefty bounty on his head, and normal contracts were hard to come by. So I decided to catch the bastard, make some coin.|Letho|Nabbed him, tied him up, but the guard post didn't open till dawn… so we had a few hours.|Letho|Tracking him down proved easier than killing a drowner. He was, uh, merrymaking at the Golden Hanged Man, smack in the middle of Hagge.|Wytropienie go było prostsze niż zabicie utopca. Balował w Złotym Wisielcu, w samym centrum Hagge.|Śledzenie go okazało się łatwiejsze niż zabicie topielca. On, eh, świętował w Złotym Powieszonym Człowieku, dokładnie pośrodku Hagge.|Śledzenie go okazało się łatwiejsze niż zabicie topielca. On, eh, świętował w Złotym Powieszonym Człowieku, dokładnie pośrodku Hagge.|Tropienie go okazało się łatwiejsze niż zabicie topielca. On, eh, świętował w Złotym Powieszonym Człowieku, dokładnie pośrodku Hagge.
Philippa Eilhart|||||Keep looking. It must be here.|Szukaj dalej. Musi gdzieś tu być.|Szukaj dalej. Musi tu być.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Szukaj dalej. Musi tu być.
Skellige Warrior 01|||Give us strength and courage! Swift hands and sharp eyes! Lead us.|Skellige Warrior 02|Oh great and mighty Freya! Help us fulfill the oaths we've sworn!|Wielka i potężna Freyjo! Spraw, byśmy mogli wypełnić to, cośmy poprzysięgli!|Oh wielka i potężna Frejo! Pomóż nam spełnić śluby, które złożyliśmy!|Daj nam siłę i odwagę! Szybkie ręce i bystre oczy! Prowadź nas.|O wielka i potężna Frejo! Pomóż nam spełnić przysięgi, które złożyliśmy!
Geralt|Got any vodka?|Geralt|Hmm… I must admit, you appearing here - quite the surprise, witcher.|Geels|Oh, yeah, keep forgetting you don't touch that filth, disgraceful as it is.|A, prawda, wy tu nie hańbicie się takimi trunkami.|Oh, tak, ciągle zapominam, że ty nie dotykasz tego świństwa, choćby ze wstydu.|Czego jak czego, ale nekkerów to się akurat nie boję.|Och, tak, ciągle zapominam, że nie dotykasz tego brudu, jakie to haniebne.
Skellige Guard 03|Hmmm… I think so.|Skellige Guard 03|How're things?|Skellige Guard 03|How'd you do.|Czołem.|Jak się masz?|Jak się masz?|Jak się masz?
Geralt|||Upstairs. But she's with a very important client - do not disturb them!|Novigrad Trader 02|Sweet Nettie. Where is she?|Słodka Anneke. Gdzie ona jest?!|Słodka Nettie. Gdzie ona jest?|Sweet Nettie. Gdzie ona jest?|Słodka Nettie. Gdzie ona jest?
Geralt|Uhh… nothing. A preliminary image.|Triss|Stop interrupting! I have to focus.|Triss|What?|Co?|Co?|Co?|Co?
Witch Hunter 04|Mercy… I…|Novigrad Beggar 01|The two of yous! Sod off.|Witch Hunter 04|Yeah, I know. You've five brats, need coin for bread, surgery and a ticket 'ome. Do 'im!|Tak, wiem. Masz piątkę dzieci, zbierasz na chleb, operację i bilet do domu. Dalej z nim!|Tak, wiem. Masz pięcioro dzieci, potrzebujesz pieniędzy na chleb, operację i bilet do domu. Ruszaj się!|Tak, wiem. Masz pięcioro dzieci, potrzebujesz pieniędzy na chleb, operację i bilet do domu. Ruszaj się.|Tak, wiem. Masz pięcioro dzieci, potrzebujesz pieniędzy na chleb, operację i bilet do domu. Idź tam!
Geralt|Hanna's dead for certain. Niellen ought to accept his loss, move on with his life.|Verden Woman 01|Thank you. My sister, she'd appreciate you givin' her man the chance to start anew.|Verden Woman 01|Hmm… You could be right.|Hmm... Może masz rację.|Hmm… Możesz mieć rację.|Dziękuję.|Hmm... Możesz mieć rację.
Geralt|Yes, luck stood with you! B-but the next time we meet…|Redanian Soldier 01|We shall meet again!|Redanian Soldier 01|Go back to Maid Bilberry and apologize for being an ass. Quick, before I change my mind and break your bones.|Wracaj do panny Jagódki. W kabanich podskokach. Zanim zmienię zdanie i porachuję ci kości. No już.|Idź do Maid Bilberry i przeproś za bycie osłem. Szybko, zanim zmienię zdanie i połamię ci kości.|Go back to Maid Bilberry and apologize for being an ass. Quick, before I change my mind and break your bones.|Wróć do Maid Bilberry i przeproś za bycie dupkiem. Szybko, zanim zmienię zdanie i połamię ci kości.
Gremista|Hm. A pimpernel. Far as I know it's got no use in alchemy apart from…|Geralt|I've told you what you must do. Why do you still bother me?|Gremista|Would you teach your grandmother to suck eggs? It's not any pimpernel, but the one that grows in the Morskogen Forest. And if the rumors are true, a creature jealously guards all the herbs growing there.|Hola, hola, nie ucz ojca dzieci robić! Zresztą, tu nie chodzi o byle kwiat, tylko ten z Morskogen. A tam, jeśli wierzyć plotkom, zalągł się leśny stwór, który zazdrośnie strzeże wszystkich ziół.|To nie żaden zwykły pimpernel, ale ten rosnący w lesie Morskogen. A jeśli pogłoski są prawdziwe, to stworzenie pilnuje zazdrośnie wszystkich rosnących tam ziół.|To nie żaden zwykły pimpernel, ale ten, który rośnie w lesie Morskogen. A jeśli pogłoski są prawdziwe, to stworzenie pilnuje zazdrośnie wszystkich ziół tam rosnących.|Czy nauczyłbyś swoją babcię ssać jajka? To nie jest żaden pimpinel, ale ten, który rośnie w lesie Morskogen. A jeśli pogłoski są prawdziwe, stworzenie zazdrośnie strzeże wszystkich ziół tam rosnących.
Verden Old Man 02|So? Change your mind? A bit o' coin and I'll tell you how to get in.|Verden Old Man 02|||Ah, back again. Whaddaya need, my good man?|O, znowuście tutaj. Czego wam trzeba?|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Ach, znowu wróciłem. Czego potrzebujesz, dobry człowieku?
Zoltan Chivay|Hm… Nose is too small.|Geralt|By the bye, is that how it's done? Killin' a wyvern?|Zoltan Chivay|Aye, and the sword's too big!|No, i za duży miecz.|Tak, a miecz jest za duży!|Ach, no tak, a miecz za duży!|Tak, a miecz jest za duży!
Celina|Wha-- What's happened to her?|Tamara|Mother!|Tamara|I said I'd do it all. Give it 'ere, I'll scrub it again. Scrub it clean.|Mówiłam, wszystko zrobię. Daj, jeszcze raz wyszoruję. Do czysta.|Dobrze, zajmę się tym. Daj mi to, wytrę jeszcze raz. Wytrę do czysta.|Daj mi to, umyję jeszcze raz. Umyję dokładnie.|Powiedziałem, że zrobię wszystko. Daj to tutaj, wyszoruję jeszcze raz. Wyszoruję czyste.
Geralt|The gray is Cantarella. Sired by Cahir, the champion from Vole.|Voorhis|My coin's on the black stallion - Nemrod. Purest Nilfgaardian stock.|Voorhis|Yeah... Gray's a good color. Even looks good on horses.|Tak... Siwy to ładny kolor. Również koniom w nim do twarzy.|Tak... Szary to dobry kolor. Nawet ładnie wygląda na koniach.|Tak... Szary to dobry kolor. Nawet pasuje na konie.|Tak... Szary to dobry kolor. Nawet dobrze wygląda na koniach.
Geralt|Turned out Eredin had other plans. He produced the phylactery, uncorked it. A fog enveloped us, and Avallac'h began gasping for air.|Cirilla|Yes. He didn't wish to kill him. Humiliation, that's what he was after. But Avallac'h refused to succumb without a fight. He cast a spell that wrought havoc in the Hunt's ranks.|Cirilla|That's how Eredin cursed Avallac'h, triggered his transformation into Uma?|To wtedy Eredin rzucił klątwę, która zamieniła Avallac'ha w Umę?|Tak Eredin przeklął Avallac'ha i sprowokował jego transformację w Umę?|Tak Eredin przeklął Avallacha, wywołując jego transformację w Umę?|Tak Eredin przeklął Avallac'ha, inicjując jego transformację w Umę?
Imlerith|||||Ghaarrr!|Ghaarrr!|Ghaarrr!|Ten lód... To zaklęcie. Musisz zniszczyć kostur czarodzieja, który je rzucił.|Ghaarrr!
Voorhis|Gotta wonder if Molly fell for the nephew or his inheritance.|Geralt|Geralt of Rivia at my doorstep? Surely, this is no chance encounter?|Luiza La Valette|We cannot know that just yet. But I'd wager she has strong feelings for both.|Tego na razie nie wiadomo. Ja obstawiam, że siostrzeńca i spadek darzy równie wielkim uczuciem.|Nie możemy tego jeszcze wiedzieć. Ale założyłbym się, że ma silne uczucia do obu.|Nie możemy tego jeszcze wiedzieć. Ale założyłbym się, że ma silne uczucia do obu.|Nie możemy tego jeszcze wiedzieć. Ale założyłbym się, że ma silne uczucia do obu.
Skellige Villager 03|Stop. I won't speak of him.|Skellige Villager 04|But when they attacked, he fled. Abandoned his mum and sis. Abandoned us all.|Skellige Villager 04|He was our brother in blood. We sailed on the same longship, sat oar to oar. Raided the Black Ones together.|Był bratem krwi. Na jednym drakkarze siedzieliśmy wiosło w wiosło. Razem łupiliśmy Czarnych.|Był naszym bratem krwi. Pływaliśmy razem na tej samej długiej łodzi, wiosło w wiosło. Napadaliśmy na Czarnych razem.|Był naszym bratem krwi. Pływaliśmy razem na tej samej długiej łodzi, wiosło w wiosło. Napadaliśmy na Czarnych razem.|Był naszym bratem we krwi. Pływaliśmy razem na tej samej długiej łodzi, siedzieliśmy wiosło przy wiośle. Łupiliśmy Czarnych razem.
Geralt|||||Muggs was attacked here.|Muggs został zaatakowany w tym miejscu.|Muggs został zaatakowany tutaj.|Muggs został zaatakowany tutaj.|Muggs został zaatakowany tutaj.
Geralt|Mhm.|Yennefer|Geralt of Rivia, being romantic.|Yennefer|Seen uglier sights in my life.|Widywałem w życiu brzydsze widoki.|Widziałem już brzydsze widoki w swoim życiu.|Widziałem już brzydsze widoki w swoim życiu.|Widziałem brzydsze widoki w swoim życiu.
Zoltan Chivay|Hah! Like to know that meself! Maybe he could explain what the hell's goin' on!|Zoltan Chivay|Dandelion gone, the tavern chock full of bums. Haven't a clue what happened.|Zoltan Chivay|I just barely returned, as you saw. Expectin' to come home to a hot leg o' boar and some cold ale. What do I find instead? A shitestorm.|Wróciłem przed chwilą, sam widziałeś. Myślałem, że czeka na mnie gorący udziec i zimne piwo, a tu – dupa.|Właśnie ledwo wróciłem, jak widzicie. Spodziewałem się znaleźć w domu gorącą nogę dzika i zimne piwo. Co zastaję zamiast tego? Prawdziwą burzę gówna.|Właśnie ledwo wróciłem, jak widzicie. Spodziewałem się znaleźć w domu gorącą nogę dzika i zimne piwo. Co zastaję zamiast tego? Prawdziwą burzę gówna.|Właśnie wróciłem, jak widzisz. Spodziewałem się znaleźć w domu gorącą nogę wieprza i zimne piwo. Co znalazłem zamiast tego? Gównoburzę.
Verden Old Woman 03|I accept the challenge.|Geralt|Look this over - a coin from days of yore. Falka burns on its reverse, so they call it the Defier's Oren.|Verden Old Woman 03|Heheheh. Come.|He, he, he. Chodź.|Heheheh. Chodź.|Chodź.|Heheheh. Chodź.
Geralt|You and my da - you were mates once, right?|Cerys|But… Well I heard you fell out over somethin'… or someone…|Cerys|Hope we still are.|Mam nadzieję, że dalej się przyjaźnimy.|Mam nadzieję, że tak.|Mam nadzieję, że tak.|Mamy nadzieję, że wciąż jesteśmy.
Lambert|Mhm. They understood all right. Congrats.|Geralt|Take my advice. You don't wanna mess with us.|Geralt|Run for the cave… Before they stone us to death.|Musimy biec do tamtej pieczary... Inaczej nas ukamienują.|Uciekaj do jaskini... Zanim nas ukamieniują.|Uciekaj do jaskini... Zanim nas ukamieniują.|Uciekaj do jaskini... Zanim nas ukamienują na śmierć.
Geralt|But… but I lied to Yorg. Uncle did nothin' to me. He stank, and I didn't like 'im, that's it! And now… now Yorg'll die, 'cause o' me.|Skellige Girl 02|||Well maybe that'll teach you not to tell stories about others. So long.|Cóż... Może to cię oduczy oczerniania innych. Bywaj.|Może to cię nauczy nie opowiadać historii o innych. Żegnaj.|Może to cię nauczy nie opowiadać historii o innych.|Może to cię nauczy, żeby nie opowiadać historii o innych. Do widzenia.
Crach|That's right.|Geralt|And I know the lass lives. I'm sure of it. When the blood of Riannon's daughters is shed, the sea grows white with fury. I'd mark such a storm.|Crach|If you require aid - gold, ships, anything - merely say the word. I'll give you all I can.|Jeśli potrzebujecie pomocy: złota, okrętów, czegokolwiek – mówcie. Dam wam wszystko.|Jeśli będziesz potrzebował pomocy - pieniędzy, statków, czegokolwiek - wystarczy, że poprosisz. Dam ci wszystko, co mogę.|Jeśli będziesz potrzebował pomocy - pieniędzy, statków, czegokolwiek - wystarczy, że poprosisz. Dam ci wszystko, co mogę.|Jeśli potrzebujesz pomocy - złota, statków, czegokolwiek - wystarczy, że powiesz słowo. Dam ci wszystko, co mogę.
Geralt|Must've nabbed her body soon after she'd drowned.|Geralt|||Keira's lamp oughta prove really handy here.|Kaganek Keiry bardzo się tu przyda.|Lampa Keiry bardzo się tu przyda.|Ten lód... To zaklęcie. Musisz zniszczyć kostur czarodzieja, który je rzucił.|Lampa Keiry powinna okazać się tutaj bardzo przydatna.
Geralt|Hmm… Agreed. I shall send a banner with you. On one condition - General Voorhis will lead it.|Emhyr|And I cannot agree to witchers commanding my troops.|Emhyr|Can't agree to that.|Nie mogę się na to zgodzić.|Nie mogę się na to zgodzić.|Nie mogę się na to zgodzić.|Nie zgadzam się z tym.
Geralt|Hrr undo-- undo the currrse… Hrr frrrreee me, hrr finally… I will… I will… rrrrewarrrd hrr you hrrr…|Morkvarg Warewolf|You can hrrr hrrr hrrr end this. Hrrrre-- hrrrrrelease me!|Morkvarg Warewolf|Here we are again.|No i znów się spotykamy.|Tutaj jesteśmy ponownie.|Tutaj jesteśmy ponownie.|Jesteśmy znowu tutaj.
Baron|And?|Geralt|Take it you won't give me this information for free.|Geralt|Ahhh, a topic for another time.|No, to już temat na całkiem inną rozmowę.|Ach, temat na inną okazję.|Z tego co wiem, w Novigradzie elfy nie są zbyt dobrze traktowane.|Ach, temat na inną okazję.
Verden Old Man 01|That I simply do not have! Would a few crowns less satisfy ye?|Verden Old Man 01|Seems you'd make a fool of me given the chance. I'm done hagglin'. Here's my final word.|Verden Old Man 01|Oh, master, you value your services dear… But so be it, I'll agree to that.|Oj, dużo sobie śpiewacie za usługi, mistrzu... Ale niechaj będzie, zgadzam się.|Ach, panie, cenisz swoje usługi drogo... Ale niech tak będzie, zgodzę się na to.|Ach, panie, cenisz swoje usługi drogo... Ale niech tak będzie, zgodzę się na to.|Och, mistrzu, cenisz swoje usługi drogo... Ale niech tak będzie, zgodzę się na to.
Novigrad Thug Strong 01|Stake with his name on it was all set up, then that old maid Hemmelfart let him off.|Novigrad Thug Strong 01|Awful pale. Awww, you scared?|Novigrad Thug Strong 01|Hahaha, think I pissed meself!|Ha ha ha, aż się kurwa osmarkałem!|Hahaha, myślę że się posikałem!|Hahaha, myślę że się posikałem!|Hahaha, chyba zsikałem się!
Skellige Villager 04|This wraith - I can probably manage it. Need the details.|Geralt|Know anything about this specter? When'd it first appear?|Geralt|What do you wanna know?|Co chcesz wiedzieć?|Co chcesz wiedzieć?|Co chcesz wiedzieć?|Czego chcesz się dowiedzieć?
