speaker|prev_text|prev_speaker|next_text|next_speaker|en_text|pl_text|dialog_prototype|default
Geralt|Be sure and tell us when the rammy's due to start, eh?|Dwarf Man 02|You're in charge.|Dwarf Man 02|Not just yet.|Jeszcze nie teraz.|Jeszcze nie teraz.|Jeszcze nie teraz.
Geralt|The Wild Hunt? Are you certain? So… you've found Ciri?|Ermion|I see. I shall pack immediately, leave tomorrow at the latest.|Ermion|I know where she is. And the Wild Hunt'll also learn that as soon as I find her.|Wiem, gdzie jej szukać. I wiem, że gdy ją znajdę, Dziki Gon natychmiast się o tym dowie.|Wiem, gdzie ona jest. A Dziki Gon też się o tym dowie, jak tylko ją znajdę.|Wiem, gdzie ona jest. A Dziki Łów też się o tym dowie, jak tylko ją znajdę.
Novigrad Rich Man 03|Greetings.|Geralt|Don't mind him. Sit with us.|Redanian Soldier 03|What is it? Hm?|Czego, no?|Co to jest? Hm?|Co to jest? Hm?
Baron Bandit Strong 03|Baron home?|Geralt|A witcher. Wanna talk to him.|Geralt|Depends who's askin'.|Zależy, kto pyta.|To zależy od tego, kto pyta.|Zależy, kto pyta.
Geralt|||||Hm, a nekker hunting alone? You rarely see that.|Hm, nekkery prawie nigdy nie polują samotnie...|Hm, a polowanie na nekkery samemu? Rzadko się to widuje.|Hm, a polowanie na nekkery w pojedynkę? Rzadko się to widzi.
Lambert|When someone's life might be threatened, I'd rather be safe than sorry. Enough said.|Geralt|||Course. The noble White Wolf never abandons a man in need. He's more saint than witcher!|Oczywiście – szlachetny Biały Wilk nigdy nie zostawiłby człowieka w potrzebie. No święty, nie wiedźmin!|Oczywiście. Szlachetny Biały Wilk nigdy nie porzuci człowieka w potrzebie. Jest bardziej święty niż wiedźmin!|Kurs. Szlachetny Wilk Biały nigdy nie porzuca człowieka w potrzebie. Jest bardziej święty niż czarodziej!
Verden Peasant 01|Reckon you'll ever have any grain to sell?|Verden Peasant 01|She were with child, but the wraith took no heed…|Verden Peasant 01|Specter crept in their hut the night, made nary a sound.|Nocą zmora do dom im sfrunęła, bez szmeru ni szustu.|Specter zakradł się do ich chaty nocą, nie wydając żadnego dźwięku.|Widmo zakradło się do ich chaty nocą, ledwie wydając dźwięk.
Novigrad Nobleman 03|Earth elemental trapped in the cellar. It was just trying to get out, almost demolished the house in the effort.|Geralt|Hard to say.|Geralt|Hm, far more interesting than a ghost, that's certain. The cellar you mentioned - is it in a state to be furnished?|Hm, to dużo lepsze niż duchy. A te podziemia da się jakoś – bo ja wiem – umeblować?|Hm, znacznie ciekawsze niż duch, to pewne. Piwnica, o której mówiłeś - czy jest w stanie, żeby można było ją urządzić?|Hm, znacznie bardziej interesujące niż duch, to pewne. Piwnica, o której wspomniałeś - czy jest w stanie, który pozwala ją umeblować?
Geralt|That's Halbjorn, son of Holger Blackhand. Blueboy Lugos, Madman Lugos' firstborn. And chokin' down a stockfish over there's Otrygg an Hindar.|Cerys|Cerys an Craite is the daughter of a jarl, Geralt. Jarls' daughters are in no way inferior to their sons.|Yennefer|Seems they sat us with the sons of jarls, exclusively.|Widzę, że posadzono nas z samymi synami jarlów.|Wydaje się, że posadzili nas z synami jarli, wyłącznie.|Wydaje się, że posadzili nas wyłącznie z synami jarlów.
Geralt|||Excuse me. I'm looking for Marabella.|Geralt|Thanks for your help. Farewell.|Dzięki za pomoc. Bywaj.|Dziękuję za pomoc. Żegnaj.|Dziękuję za pomoc. Żegnaj.
Baron Bandit Strong 03|Son of a whore!|Baron Bandit Strong 03|Stinks o' Nilfgaardian corpse to me.|Baron Bandit Strong 03|Grrr…|Wrr...|Grrr...|Grrr...
Geralt|Your comrade, Letho of Gulet, described you so. Quite accurate, I'd say.|Voorhis|Hmm. It must suffice.|Chamberlain Emhyr|My comrade - your agent.|Mój druh. A wasz agent.|Mój towarzysz - twój agent.|Mój towarzysz - twój agent.
Geralt|||Yennefer suggested I ask you about current events. The war, and so on.|Geralt|Ambassador var Attre?|Ambasador var Attre?|Czy ambasador to Attre?|Ambasador był Atrem?
Zoltan Chivay|||||With a wagon axle.|Dyszlem od wozu.|Z użyciem osi wozu.|Z osią wozu.
Geralt|Yet she did not win your trust.|Udalryk|No, no, no, no…|Udalryk|Cause I decided to solve this the witchers' way.|Bo postanowiłem to załatwić po wiedźmińsku.|Postanowiłem rozwiązać to po wiedźmińsku.|Ponieważ postanowiłem rozwiązać to wiedźmińskim sposobem.
Skellige Warrior 04|But he's had a helluva lotta mead.|Skellige Warrior 02|You're slow. You stopped trying' once you passed the trials.|Skellige Warrior 01|Whoo-hoo… then Olaf's gonna do some killin'.|Uhuhu... No to będzie Olaf mordował.|No to Olaf będzie miał niezły ubaw!|Hurra... a potem Olaf będzie zabijać.
Redanian Soldier 02|Looks a bit like Corporal Heribert in the mug, eh?|Redanian Soldier 01|If it's a basilisk… then where's it's deadly gaze?|Redanian Soldier 03|Hm, Could chew through a mace with them choppers. Maybe even Nilfgaardian plate.|Tymi zębami to i kolczugę by przegryzł. Może nawet nilfgaardzkie blachy.|Hm, Mógłby przeżuć maczugę tymi szczękami. Może nawet pancerz nilfgaardzki.|Hm, Mógłby przeżuć maczugę tymi szczypcami. Może nawet nilfgaardzką zbroję.
Geralt|Right, right… just a wee bit longer…|Dwarf Sleepy|C'mon, get up.|Geralt|Get up.|Wstawaj.|Wstań.|Wstań.
Geralt|All right. See you then… And thanks.|Geralt|Forgive me, Geralt… But after what you just pulled, I'd sooner believe a whore who proclaimed her undying love.|Dijkstra|Know you well enough to know what matters: results… So I lied. Still say I can lead you to your treasure.|Znam cię jednak na tyle dobrze, żeby wiedzieć, że interesują cię rezultaty... Skłamałem, zgoda. Ale i tak doprowadzę cię do skarbu.|Wiem wystarczająco dużo, by wiedzieć, co się liczy: rezultaty... Więc skłamałem. Nadal twierdzę, że mogę cię poprowadzić do twojego skarbu.|Znasz mnie wystarczająco dobrze, aby wiedzieć, co się liczy: wyniki... Więc skłamałem. Nadal twierdzę, że mogę cię poprowadzić do twojego skarbu.
Tamara|Got every right to be angry at your father, but he's worried about you.|Geralt|Because he knows something about someone dear to me. Promised to tell me if I found you and your mother.|Geralt|I have a right? Thank you kindly. So good to have the approval of his hired thug! And my father worries only about what to get soused on next.|Mam prawo? O, dziękuję bardzo, jak dobrze zyskać aprobatę najemnika! A mój ojciec martwi się wyłącznie o to, czy ma się czym uchlać.|Dziękuję serdecznie za uznanie moich praw. Tak miło mieć aprobatę jego wynajętego zbira! A mój ojciec martwi się tylko o to, co tu najlepiej popić.|Mam prawo? Dziękuję bardzo. Tak dobrze mieć aprobatę jego wynajętego zbira! A mój ojciec martwi się tylko o to, co następne się upić.
Skellige Old Woman 01|What's he know? Used to be youngsters knew their place and kept quiet.|Skellige Old Man 01|Not goin' to Arnulf's funeral?|Skellige Old Woman 01|Dah, it's a shame our hunters perished in the war.|Ech, szkoda że myśliwi nie wrócili z wojny.|Dah, szkoda, że nasi myśliwi zginęli w wojnie.|Szkoda, że nasi myśliwi zginęli w wojnie.
Vesemir|Killing monsters is not something to be taken lightly. Ciri must understand that if she's to become one of us.|Vesemir|Gotta admit we've spoiled her.|Geralt|I'll see you below.|Widzimy się na dole.|Do zobaczenia na dole.|Zobaczę cię poniżej.
Novigrad Thug Strong 33|Not jarred-off easily, eh?|Novigrad Thug Strong 33|Any smartasses?|Novigrad Thug Strong 33|What? Smartass, eh?|No, cwaniaczku, he?|Co? Myślisz, że jesteś cwaniakiem, co?|Co? Cwaniak, co?
Geralt|You will end like him. What say you to that?|Nilfgaardian Soldier 03|Wise choice.|Nilfgaardian Soldier 03|You go your way, I'll go mine.|Idźcie w swoją stronę, ja pójdę w swoją.|Ty idź swoją drogą, ja pójdę swoją.|Ty idziesz swoją drogą, ja pójdę swoją.
Yennefer|Don't get me wrong, Yennefer. I'm glad to see you… but I do think you owe us an explanation.|Vesemir|We can talk here. Some charming orchards nearby. In bloom, even, so you almost can't smell the corpses.|Geralt|And I shall provide it… in Vizima. Ready your horses.|Udzielę ich... Ale już w Wyzimie. Szykujcie konie.|I udzielę go... w Vizimie. Przygotujcie swoje konie.|I dostarczę to... w Wizimie. Przygotujcie swoje konie.
Novigrad Thug Weak 01|Here's my invite. All yours if you want it.|Geralt|"Incidentally, bloody useless, these crowns. In Temeria, you could say ""You met my friend Foltest?"" Down in Nilfgaard, it'd be ""Emperor'd like to vouch for me."" With this shite? Nothin'."|Novigrad Thug Weak 02|Yeah, gladly take it.|A my chętnie przyjmiemy.|Chętnie wezmę to zaproszenie.|Tak, chętnie wezmę to.
Novigrad Thug Weak 32|Going somewhere, friend?|Novigrad Thug Weak 32|Muuurdeeeer!|Novigrad Thug Weak 32|Oh, no.|Nie no.|Och, nie.|Och, nie.
Eskel|Er, not lately. But about half a year back I slew a manticore in Creyden, in a forest. Quick son of a bitch, that one.|Eskel|Get a nice sum at least?|Geralt|Jumped out of the undergrowth so fast my medallion didn't have time to give me so much as one twitch. Won't show you the scar – too big a boy for that.|Nawet mi medalion nie zdążył drgnąć, jak wyskoczyła z zarośli. Blizny nie będę pokazywał, bo już za duży na to jestem.|Wyskoczył tak szybko z zarośli, że mój medalion nie zdążył mi dać nawet jednego drgnięcia. Nie pokażę ci blizny – za duży ze mnie chłopak na takie rzeczy.|Wyskoczyłem z zarośli tak szybko, że mój medalion nie zdążył nawet drgnąć. Nie pokażę ci blizny – jestem już za dużym chłopcem na takie rzeczy.
Geralt|Turn back. Bridge is closed.|Redanian Soldier 01|By order of His Grace, King Radovid himself. Which means I'm not to let me own mum through without a valid pass.|Redanian Soldier 01|On whose orders?|Z czyjego rozkazu?|Na czyje rozkazy?|Na czyje rozkazy?
Novigrad Citizen Man 20|A whole day wasted.|Novigrad Citizen Man 20|Ptooey!|Novigrad Citizen Man 21|Sleep, sleep, sleep… Aaaah yaaawn.|Spać, spać, spać... Zieeeew|Śpij, śpij, śpij... Ach, ziewam.|Sen, sen, sen... Ach, ziew.
Geralt|||||Red clay and the tracks of an exceptionally large nekker. Definitely a warrior.|Czerwona glina i ślady wyjątkowo dużego nekkera. To na pewno wojownik.|Geralt: Czerwona glina i ślady niezwykle dużego nekkera. Na pewno wojownik.|Czerwona glina i ślady wyjątkowo dużego nekkera. Zdecydowanie wojownik.
Elf Man 02|Help…|Elf Man 02|Can't afford it anyway.|Elf Man 02|Eternal Fire which is our hope…|Wieczny Ogień, który jest nadzieją...|Wieczny ogień, który jest naszą nadzieją...|Wieczny ogień, który jest naszą nadzieją...
Yennefer|How can you be sure?|Geralt|Even if anyone remembers the ruins are there, they have no recollection of how far and where they extend. And I'm absolutely certain no one's thought to place sentries there.|Yennefer|Novigrad's hierarchs have taken great care to eradicate any and all memories of the city's elven roots.|Hierarchowie Novigradu zadbali o to, żeby zabić pamięć o elfickich korzeniach miasta.|Yennefer: Hierarchowie Nowigradu zrobili wszystko, żeby wymazać wszelkie ślady elfickich korzeni miasta.|Hierarchowie z Novigradu zrobili wszystko, co możliwe, aby całkowicie wymazać jakiekolwiek wspomnienia o elfickich korzeniach miasta.
Crach|Feeling torn between Hjalmar and Cerys?|Geralt|||You mean, do I have a favorite? Nay. They're as different as fire and water. But an Craite blood flows in both.|W sensie, czy mam faworyta? Nie. Różni są jak ogień i woda... Ale w obu płynie krew an Craite.|Czy mam faworyta? Nie. Są tak różne jak ogień i woda. Ale płynie w nich krew Craite.|Masz na myśli, czy mam ulubionego? Nie. Są tak różni jak ogień i woda. Ale krew Craite płynie w obu.
Geralt|Here, for you. For your kindness.|Verden Girl 02|Come out! I'm not gonna hurt you.|Geralt|Don't have any food, but maybe this'll help.|Nie mam jedzenia, ale może to wam się przyda.|Nie mam jedzenia, ale może to ci pomoże.|Nie mam żadnego jedzenia, ale to może pomóc.
Geralt|I think we've to give Brokvar to Aki, and he'll leave Udalryk alone.|Cerys|What's that?|Cerys|Not a bad idea - on condition it's a ghost we're dealing with. But something doesn't add up…|Całkiem niegłupia myśl – gdyby rzeczywiście chodziło o ducha. Ale coś mi się tu nie zgadza...|Niezła myśl - pod warunkiem, że mamy do czynienia z duchem. Ale coś mi tu nie pasuje...|Niezła myśl - pod warunkiem, że mamy do czynienia z duchem. Ale coś tu nie pasuje...
Talar|If they're paid a tidy sum, they won't.|Dijkstra|Ploughing neutrality.|Dijkstra|Ugh, well, the prick just popped our pumpkin.|No i chuj bombki strzelił...|Ech, no cóż, ten dupek właśnie popsuł naszą dynię.|Ech, no cóż, ten głupek właśnie przebił naszą dynię.
Geralt|Did you, now…? What else have you heard?|Novigrad Nobleman 01|Junior was right! Someone's after him!|Novigrad Nobleman 01|Whoreson around or not?|Zastałem Skurwiela czy nie zastałem?|Co za skurwysyn kręci się tu czy nie?|Czy dziwka jest wokół, czy nie?
Rosa Var Attre|No. So you won't need saving to begin with. Rosa… those humans died because of you.|Geralt|Lesson's over. Remember what you've learned today. Looks like you'll be using that sword often.|Geralt|What of it? Do you expect me to shed a tear? Observe a minute of silence? They were dregs, they got they deserved!|I co? Mam uronić nad nimi łzę? Uczcić minutą ciszy? Dostali, na co zasłużyli. Gnidy!|Co z tego? Spodziewasz się, że uronię łzę? Będę obserwować minutę ciszy? To były odpady, dostali to, na co zasłużyli!|Co z tego? Spodziewasz się, że uronię łzę? Będę obserwować minutę ciszy? To były odpady, dostali to, na co zasłużyli!
Hjalmar|Farewell, an Craite.|Geralt|Thanks, Geralt.|Hjalmar|Thanks for your help, witcher. I've a distinct sensation, won't say where, that we'll meet again.|Dzięki za pomoc, wiedźminie. Wiesz co? Mam przeczucie, że jeszcze się spotkamy.|Dziękuję za pomoc, wiedźminie. Mam wyraźne przeczucie, nie powiem gdzie, że spotkamy się ponownie.|Dziękuję za pomoc, wiedźminie. Mam wyraźne przeczucie, choć nie powiem gdzie, że jeszcze się spotkamy.
Scoiatael Dwarf 33|Piss off, human.|Scoiatael Dwarf 33|Leave it, lad.|Scoiatael Dwarf 33|Shove off.|Nie kręć się tu.|Odczep się.|Odczep się.
Baron Bandit Strong 03|Yeeeeh-haaah!|Baron Bandit Strong 02|I'll be first, if I have to skewer my mare with my spurs!|Baron Bandit Strong 03|Oi, witcher! Your mum not want you?|Te, wiedźmin! Matka cię nie chciała?|Hej, czarodzieju! Twoja mama cię nie chce?|Och, czarodzieju! Twoja mama cię nie chce?
Redanian Blacksmith 01|Will you craft something for me?|Geralt|{Hael. } [Greetings.]|Nilfgaardian Imperial 01|Ah! A customer!|Ha! Klient!|Ach! Klient!|Ach! Klient!
Roche|Anyone see you come in?|Dijkstra|Off the street, I mean.|Dijkstra|No one apart from Madame Serenity and your lackey.|Tylko Madame Serenity i twój przydupas.|Nikt poza Madame Serenity i twoim lokajem.|Nikt poza Madame Serenity i twoim lokajem.
Geralt|Gran? Sure I remember.|Godling Johnny|By happenstance, Gran mixed some poppy seed and ash. Went by to help her sort it out. Mother nature gave me small hands, see, so I can do it easy like.|Godling Johnny|Found her in the Crones' village. Transformed into a monster. Any idea how that happened?|Znalazłem ją w wiosce wiedźm, zamienioną w potwora. Wiesz, co jej się stało?|Znalazłem ją we wsi czarownic. Zamieniła się w potwora. Masz może pomysł, jak to się stało?|Znalazła ją w wiosce Wiedźm. Przemieniona w potwora. Jak to się mogło stać?
Graham|It's dangerous, there are risks involved. Understand that, don't you?|Geralt|Farewell.|Geralt|Course. I'm no coward, I'll not run this time.|Tak, oczywiście. Ale tym razem nie okażę się tchórzem.|Oczywiście. Nie jestem tchórzem, tym razem nie ucieknę.|Kurs. Nie jestem tchórzem, tym razem nie ucieknę.
Celina|Gran's got a lovely beak.|Verden Girl 01|Dog went in the kitchen, stole a hunk of meat.|Verden Boy 01|Oh, you darling girl. Kids are so sweet.|Moje ty kochanie. Dzieci są takie słodkie.|Oh, ty kochana dziewczynko. Dzieci są takie słodkie.|Och, ty kochana dziewczyno. Dzieci są takie słodkie.
Skellige Warrior 05|Greetings.|Skellige Warrior 05|Foreigner, watch your step.|Skellige Warrior 05|Why're you here?|Czego tu?|Po co tu jesteś?|Dlaczego tu jesteś?
Triss|What about me? Don't I get any?|Geralt|…just got exactly what you deserve.|Yennefer|You…|Ty...|Ty...|Ty...
Geralt|Won't find much else here.|Geralt|What's this? Ah. Gotta wonder who wanted to hide the hole… and what's on the other side.|Geralt|The baron and his wife. Hm, look happy enough.|Baron i jego żona. Hmm, wyglądają na szczęśliwych.|Ten baron i jego żona. Hm, wyglądają na wystarczająco szczęśliwych.|Baron i jego żona. Hm, wyglądają na dość szczęśliwych.
Eyvind|By my calculations, today's the day Gevorg, the legendary white whale, will swim the waters of Skellige.|Eyvind|Let's watch for Gevorg together. And you can tell me what you know about any elven ruins in Skellige.|Geralt|Been waitin' for this my whole life.|Czekałem na to całe życie...|Czekałem na to całe życie.|Czekałem na to całe życie.
Skellige Old Woman 03|*Heavy sigh* Ehh, young an Craite's no different than Crach. Jarls'll still be at each others' throats…|Skellige Old Woman 03|Twas you aided Udalryk, eh? You and Cerys an Craite!|Skellige Old Woman 03|If the jarls feuded and fought under King Bran, why should they stop now his son's on the throne?|Skoro jarlowie i za króla Brana się kłócili, to czemu mieli by przestać, jak jego syn na tronie?|Jeśli jarlowie walczyli i toczyli spory za czasów króla Brana, dlaczego teraz mieliby przestać, skoro jego syn siedzi na tronie?|Jeśli jarlowie kłócili się i walczyli pod królem Branem, dlaczego mieliby teraz przestać, skoro jego syn zasiada na tronie?
Geralt|||Watch your words, foreigner. You're in Skellige, our land, and we revere the gods here. If you weren't an Craite's guest…|Udalryk|It's not the gods.|To nie bogowie.|To nie są bogowie.|To nie są bogowie.
Novigrad Nobleman 01|Whoreson around or not?|Geralt|Disarm this man!|Novigrad Nobleman 01|Junior was right! Someone's after him!|Junior miał rację! Ktoś po niego przyszedł!|Junior miał rację! Ktoś go śledzi!|Junior miał rację! Ktoś go ściga!
Baron Bandit Weak 03|Over here! Can't get out! Roof's collapsed!|Baron Bandit Weak 03|Remember me?|Baron Bandit Weak 03|Akh akh. Horses! Gotta let 'em out! Open the main door!|Konie trzeba uwolnić! Otwórzcie główne wrota!|Ach, ach. Konie! Muszę je wypuścić! Otwórz główną bramę!|Ach ach. Konie! Trzeba je wypuścić! Otwórz główne drzwi!
Geralt|Thank you. And know that I hope you find your Ciri.|Baron|Well? Ready?|Baron|Deal we made means I need to find Tamara and Anna first. Just so happens your unborn daughter might help us do that.|Wedle naszej umowy najpierw muszę znaleźć Tamarę i Annę. A tak się składa, że pomoże nam w tym twoja nienarodzona córka.|Umowa, którą zawarliśmy, oznacza, że muszę najpierw odnaleźć Tamarę i Annę. Przypadkiem wasza nienarodzona córka może nam w tym pomóc.|Umowa, którą zawarliśmy, oznacza, że muszę najpierw znaleźć Tamarę i Annę. Przy okazji może nam w tym pomóc twoja nienarodzona córka.
Halfling Man 02|Good day.|Halfling Man 02|Greetings.|Halfling Man 02|Wouldn't hit a halfling, would you?|Chyba nie uderzysz niziołka?|Nie uderzyłbyś hobbita, prawda?|Nie uderzyłbyś półelfa, prawda?
Geralt|I don't know who the traitor is, witcher. But I'll tell you it's none of us. We all lost loved ones.|Donar An Hindar|Very well. Speak.|Donar An Hindar|Wanted to talk to you.|Chcę jeszcze z wami porozmawiać.|Chciałem z tobą porozmawiać.|Chciałem z tobą porozmawiać.
Geralt|Human. Wrong body type.|Geralt|This one's a she. Remember, beards are no indicator of gender amongst dwarves.|Von Gratz|That's gotta be him.|To chyba on.|To musi być on.|To musi być on.
Geralt|||||No, it's impossible!|Nie, to niemożliwe...|Nie, to niemożliwe!|No, to niemożliwe!
Geralt|||||You died for a good cause, sheep. Rest in peace.|Zginęłaś w słusznej sprawie, owco. Niech ci ziemia lekką będzie.|Umarłaś za dobrą sprawę, owca. Spoczywaj w pokoju.|Umarłeś za dobrą sprawę, owco. Spoczywaj w pokoju.
Dwarf Sleepy|Wake up!|Geralt|Who-- Who're you?|Dwarf Sleepy|Wha-- What's happenin'?|Co się dzieje?|Co się dzieje?|Co się dzieje?
Vesemir|Hm, I know exactly how he'll take to bricklaying.|Vesemir|It shall. We must just ignite it at the right moment.|Ermion|I certainly hope this gas will work.|Mam nadzieję, że ten gaz zadziała.|Naprawdę mam nadzieję, że ten gaz zadziała.|Mam nadzieję, że ten gaz zadziała.
Skellige Villager 01|Your stomach.|Skellige Druid 01|Love.|Skellige Druid 01|And lovage?|A lubczyk?|A co z lubczykiem?|A co z lubczykiem?
Novigrad Thug Strong 01|For what?! My son's dead, don't you see?! And I prayed till my knees bled…|Novigrad Drunk 02|Who's gonna do the lie down? I did the mummin' last time.|Novigrad Thug Weak 03|So when the bloke comes round the corner, we do the wounded man bit.|Gość wejdzie w ciemną ulicę i robimy numer z rannym.|Gdy ten gość wyjdzie zza rogu, robimy numer z rannym człowiekiem.|Więc kiedy gość pojawi się zza rogu, robimy numer z rannym człowiekiem.
Geralt|No specific reason. She and Cerys - they're of a similar age. But we'll speak of my children later. First, let's speak of yours. Yennefer claims Ciri's in trouble, and you seek her.|Crach|If you require aid - gold, ships, anything - merely say the word. I'll give you all I can.|Crach|That's right.|Zgadza się.|To prawda.|To prawda.
Skellige Innkeeper 01|Greetings. Impressive tavern.|Geralt|Mhm. So what do folk do in the House of Warriors? Fight?|Geralt|Tavern?! 'T'ain't no tavern! 'Tis the House of Warriors!|Gospoda?! To żadna gospoda, tylko Dom Wojowników!|To nie jest karczma! To Dom Wojowników!|Karczma?! To nie jest karczma! To Dom Wojowników!
Mage 01|Someone help me!|Mage 01|Ah yes, good day.|Mage 01|Sigh…|Ech...|Ech...|Westchnienie...
Geralt|||||Cart tracks lead into the woods.|Ślady wozu wiodą w las.|Ślady wozu prowadzą w głąb lasu.|Ślady kół wózków prowadzą do lasu.
Baron|With Annie… it was love at first sight. A spear tore through my shoulder at the Battle of Anchor, she tended to my wound. Once I'd recovered, I asked her to marry me. She wept with joy.|Baron|It was one battle to the next, one conflict after another… 'Twas a life of war, I was seldom home, and I found comfort in drink. Grew so fond of hooch I couldn't part with it when I did get home.|Baron|Soon after, Tamara was born, and after that they sent me to Cidaris. A warlord had risen against King Ethain, and Foltest sent help.|Niedługo potem urodziła się Tamara, a mnie wysłali do Cidaris – król Ethain miał problem z jakimś watażką, a Foltest posłał mu wojska z pomocą.|Niebawem po tym urodziła się Tamara, a potem wysłali mnie do Cidaris. Jeden z baronów wszczął rebelię przeciwko królowi Ethainowi, i Foltest posłał tam pomoc.|Niedługo potem urodziła się Tamara, a potem wysłali mnie do Cidaris. Wódz rebelii wystąpił przeciw królowi Ethainowi, i Foltest posłał pomoc.
Dijkstra|||||Gets you nothin', that!|Nic ci to nie da!|Nie dostaniesz nic takiego!|Nie dostaniesz nic z tego!
Radovid|Wasn't where your men said, but I did find signs of someone doing medical experiments there.|Geralt|Think Philippa tried to restore her eyesight.|Geralt|Oh, that's something.|O, to ciekawe.|Ach, to coś.|Och, to coś.
Elf Female 35|Waste of words.|Elf Female 35|Run, if you value your lives!|Elf Female 35|That's unthinkable!|W głowie się nie mieści!|To jest nie do pomyślenia!|To jest niemożliwe!
Dijkstra|Your partners aware of your past? They know you're Sigismund Dijkstra, former head of Redanian intelligence?|Geralt|But we just need to stay out of each others' ways, agree from time to time. That doesn't make us partners.|Dijkstra|Heheh. Cleaver, Bedlam and Junior, well, I'd call them my partners if we'd built a mill to grind flour for the folk of nearby hamlets.|Gdybym razem z Tasakiem, Bedlamem i Juniorem zbudował młyn i mełł mąkę dla okolicznych chłopów, to bylibyśmy wspólnikami.|Heheh. Cleveler, Bedlam i Junior, no cóż, nazwałbym ich partnerami, gdybyśmy zbudowali młyn do mielenia mąki dla ludności pobliskich wiosek.|Heheh. Cleaver, Bedlam i Junior, no cóż, nazwałbym ich moimi partnerami, gdybyśmy zbudowali młyn do mielenia mąki dla ludzi z pobliskich wiosek.
Novigrad Old Woman 01|Leave me be.|Novigrad Old Woman 01|Ouch!|Novigrad Old Woman 01|Akh akh akh akh akh…|Khe! Khe!|Ach, ach, ach...|Ach ach ach ach ach...
Novigrad Old Woman 17|Ow. I've such terrible aches…|Novigrad Old Woman 17|Greetings.|Novigrad Old Woman 17|Never rains but it pours.|Jak nie urok, to sraczka.|Nigdy nie ma lekko, zawsze pod górkę.|Nigdy nie pada, ale kiedy już pada, to leje jak z cebra.
Dijkstra|||Shhh. Triss is about to speak.|Mage 03|I look forward to having friends in Kovir. Especially among King Tancred's entourage.|Dobrze jest mieć w Kovirze przyjaciół. Zwłaszcza na dworze króla Tankreda.|Czekam z niecierpliwością na zdobycie przyjaciół w Kovirze. Szczególnie w otoczeniu króla Tancreda.|Z niecierpliwością oczekuję na zdobycie przyjaciół w Kovirze. Szczególnie w otoczeniu króla Tancreda.
Yennefer|As you saw, my megascope's acting up… in rather spectacular fashion.|Yennefer|All right, how do I find the source?|Geralt|I'm certain there's an energy source nearby, generating disturbances, making the crystals malfunction. We must find it and neutralize it… quickly - I must contact someone, it's urgent.|Gdzieś niedaleko musi być źródło energii, które zakłóca pracę kryształów. Trzeba je dezaktywować... I to szybko. Muszę pilnie z kimś porozmawiać.|Jestem pewna, że w pobliżu znajduje się źródło energii generujące zakłócenia, przez co kamienie szlachetne przestają działać. Musimy je znaleźć i szybko zneutralizować... muszę skontaktować się z kimś, to pilne.|Jestem pewien, że w pobliżu znajduje się źródło energii generujące zakłócenia, przez które kryształy przestają działać. Musimy je znaleźć i zneutralizować... szybko - muszę skontaktować się z kimś, to pilne.
Geralt|Please.|Lambert|Sure.|Lambert|Thanks for everything.|Dziękuję za wszystko.|Dzięki za wszystko.|Dziękuję za wszystko.
Geralt|Aburraghi v'arathern...|Mage 02|Thanks. Though I'd be more than satisfied if you calmed that storm, then took this tower somewhere else.|Geralt|Wait! What're you doing?!|Zaraz, co ty robisz?|Poczekaj! Co ty robisz?!|Czekaj! Co ty robisz?!
Geralt|Oh, I'll pour, Eskel, I'll pour. To the brim. 'Cause without vodka, you're as stiff as a bookkeeper in a body cast.|Lambert|Yeah. Soon as I trust her.|Lambert|Will you ever lay off Yen?|Odczepisz się kiedyś od Yen?|Czy kiedykolwiek odpuścisz Yen?|Czy kiedykolwiek zwolnisz jena?
Novigrad Thug Strong 03|||||…|...|…|
Geralt|||||Gotta toss some mistletoe in the fire, too. Wraith won't come out otherwise.|Do ogniska trzeba jeszcze wrzucić jemiołę. Inaczej nie wyjdzie.|Muszę wrzucić trochę jemioły do ognia. Inaczej Duch nie wyjdzie.|Trzeba wrzucić do ognia trochę jemioły też. Inaczej upiór się nie pojawi.
Godling Sara|Leave the dreamer alone. In exchange, I'll tell the banker the house is haunted - for good, no way to lift the curse.|Geralt|I'm a witcher. He'll believe me.|Geralt|You'd tell him that? What if he doesn't believe you?|O jaaaa, powiesz mu tak? A jak ci nie uwierzy?|Powiesz mu to? A co jeśli ci nie uwierzy?|Powiedziałbyś mu to? A co jeśli ci nie uwierzy?
Geralt|Hey, quick! Let me out 'fore he wakes!|Vigi|Wait. Know what they call Vigi? The Loon. For good reason, too.|Hjalmar|Key should be around here somewhere…|Klucz na pewno gdzieś tu jest...|Klucz powinien być gdzieś tutaj...|Klucz powinien być gdzieś tutaj...
Geralt|Port-side.|Dandelion|So, time to head back?|Geralt|See you soon.|Niedługo wracam.|Do zobaczenia wkrótce.|Do zobaczenia wkrótce.
Geralt|I… I was too late… to help him.|Cirilla|I should not have fled here to Kaer Morhen.|Cirilla|It's not your fault.|To nie twoja wina.|To nie twoja wina.|To nie twoja wina.
Vesemir|||||Who's next?!|Który następny?|Kto następny?!|Kto następny?!
Nilfgaardian Soldier 01|Make way!|Nilfgaardian Soldier 01|{Tròcair…} [Mercy…] Spare me…|Nilfgaardian Soldier 01|Sheathe your weapon.|Schowaj broń.|Schowaj broń.|Schowaj broń.
