en_text|pl_text|default|no_details|translation_extraction_llm|translation_extraction_brackets
The skinny thing? Lovely doe eyes, true, and she's from an honorable house - but the lass is gaunt as a sapling.|Tej chudziny? No, oczęta, owszem, jak u sarny, no i z zacnego rodu, ale przecież to mizerotka.|"Oryginalne zdanie w języku angielskim brzmi: ""The skinny thing? Lovely doe eyes, true, and she's from an honorable house - but the lass is gaunt as a sapling.""

Tłumaczenie tego zdania na język polski:

""To chuderlawe coś? Piękne oczy łani, to prawda, i pochodzi z szanowanej rodziny - ale dziewczyna jest chuda jak młode drzewo.""

Warto zauważyć, że to zdanie zawiera pewne idiomatyczne wyrażenia i może być trudne do dosłownego przetłumaczenia, aby zachować jego oryginalny sens i styl. W języku polskim nie ma dokładnych odpowiedników dla wszystkich elementów tego zdania, dlatego tłumaczenie może wydawać się nieco swobodne."|To chude coś? Piękne oczy łani, zgoda, i pochodzi z szanowanego rodu - ale dziewczyna jest chuda jak młode drzewko.|To chuderlawe coś? Piękne oczy łani, to prawda, i pochodzi z szanowanej rodziny - ale dziewczyna jest chuda jak młode drzewo.|To chude stworzonko? Ma śliczne oczy jelenia, to prawda, i pochodzi z szanowanej rodziny - ale dziewczyna jest chuda jak młode drzewo.
I must get to Drowned Dead Rock.|Muszę iść do Skały Topielców.|"Muszę dostać się do Zatopionej Skały Śmierci.

To tłumaczenie odnosi się do miejsca o nazwie ""Drowned Dead Rock"" (Zatopiona Skała Śmierci), które zostało przetłumaczone dosłownie, aby oddać jego znaczenie w języku polskim. Jeśli chodzi o kontekst zdania ""I must get to Drowned Dead Rock"", sugeruje ono, że osoba mówiąca musi dotrzeć lub udać się do tego konkretnego miejsca."|Muszę dotrzeć do Zatopionej Skały Śmierci.|Muszę dostać się do Zatopionej Skały Śmierci.|Muszę dostać się do Zatopionego Martwego Wzgórza.
I'll make sure news of your deed spreads 'cross the five isles.|Dopilnuję, by wieść o twoim czynie rozniosła się po pięciu wyspach.|"Tłumaczenie tego zdania na język polski brzmi:

""Upewnię się, że wieść o twoim czynie rozejdzie się po pięciu wyspach.""

To zdanie jest prawdopodobnie częścią większego kontekstu lub dialogu i może odnosić się do rozprzestrzeniania informacji lub chwalenia czyjegoś osiągnięcia w określonym regionie składającym się z pięciu wysp."|Upewnię się, że wieści o twoim czynie rozejdą się po pięciu wyspach.|Upewnię się, że wieść o twoim czynie rozejdzie się po pięciu wyspach.|Upewnię się, że wieści o twoim czynie rozejdą się przez pięć wysp.
Quiet, dear, you don't know what you're sayin'. Your brother was a vile man, a criminal. The quicker you forget him, the better.|Cicho, mała, nie wiesz, co mówisz. Twój brat to był podły człowiek, zbrodniarz. Im szybciej o nim zapomnisz, tym lepiej.|Cicho, kochanie, nie wiesz, co mówisz. Twój brat był podłym człowiekiem, przestępcą. Im szybciej o nim zapomnisz, tym lepiej.|Cicho, kochanie, nie wiesz, co mówisz. Twój brat był podłym człowiekiem, przestępcą. Im szybciej o nim zapomnisz, tym lepiej.|Cicho, kochanie, nie wiesz, co mówisz. Twój brat był podłym człowiekiem, przestępcą. Im szybciej o nim zapomnisz, tym lepiej.|Cicho, kochanie, nie wiesz, co mówisz. Twój brat był podłym człowiekiem, przestępcą. Im szybciej o nim zapomnisz, tym lepiej.
Mind if I have a look at your herbs?|Mogę spojrzeć na zioła, które sprzedajesz?|"Tłumaczenie tego zdania na język polski brzmi:

""Mogę rzucić okiem na twoje zioła?""

To grzeczne pytanie, które można użyć w sytuacji, gdy chcemy poprosić kogoś o pozwolenie na obejrzenie lub sprawdzenie jego roślin zielarskich. Może być stosowane w kontekście ogrodnictwa, ziołolecznictwa lub po prostu jako uprzejme zapytanie o czyjąś kolekcję roślin."|Czy mogę spojrzeć na twoje zioła?|Mogę rzucić okiem na twoje zioła?|Czy mogę rzucić okiem na twoje zioła?
May your futures not be as black as they look!|Za to, aby wasza przyszłość nie była taka zła, jak na to wygląda!|"Oto tłumaczenie tego zdania na język polski:

""Niech Twoje przyszłości nie będą tak czarne, jak się wydają!""

To zdanie jest optymistycznym życzeniem dla kogoś, kto może przechodzić przez trudny okres lub ma przed sobą wyzwania. Wyraża nadzieję, że sytuacja nie okaże się aż tak zła, jak mogłoby się obecnie wydawać."|Oby wasze przyszłości nie były tak czarne, jak się wydają!|Niech Twoje przyszłości nie będą tak czarne, jak się wydają!|Niech wasze przyszłości nie będą tak czarne, jak się wydają.
No greater deed than that done to serve the goddess.|Nie ma większego czynu niż czyn w służbie bogini.|"Tłumaczenie tego zdania na język polski brzmi:

""Nie ma większego czynu niż ten, który został dokonany dla służby bogini.""

To zdanie może być interpretowane jako wyraz głębokiego szacunku i oddania wobec bóstwa lub boskości, sugerując, że poświęcenie się służbie bogini jest najwyższym aktem heroizmu lub cnoty. Może też odnosić się do mitologii lub religii, gdzie takie czyny są uznawane za szczególnie znaczące."|Nie ma większego czynu niż ten dokonany, aby służyć bogini.|Nie ma większego czynu niż ten, który został dokonany dla służby bogini.|Nie ma większego czynu niż ten dokonany dla służenia bogini.
They're not part of any clan. They've no wives nor children.|Nie należą do żadnego klanu. Nie biorą sobie żon i nie mają dzieci.|Oni nie należą do żadnego klanu. Nie mają żon ani dzieci.|Nie należą do żadnego klanu. Nie mają żon ani dzieci.|Nie należą do żadnego klanu. Nie mają żon ani dzieci.|Nie są częścią żadnego klanu. Nie mają żon ani dzieci.
You're making a big mistake.|Popełniacie wielki błąd.|"Tłumaczenie tego zdania na język polski brzmi:

""Popełniasz duży błąd.""

To jest dosłowne tłumaczenie, które zachowuje znaczenie oryginalnego zdania w języku angielskim. Warto jednak pamiętać, że w języku polskim istnieją również inne sposoby wyrażenia tej samej myśli, takie jak:

- ""Robisz coś nie tak.""
- ""Myślę, że się mylisz.""
- ""To nie jest dobry pomysł.""

Wybór konkretnej formy może zależeć od kontekstu i relacji między rozmówcami."|Popełniasz duży błąd.|Popełniasz duży błąd.|Robisz duży błąd.
Beautiful fight. Einar retains his title, but waits to be challenged anew.|Piękna walka. Einar zatrzymał swój tytuł, ale czeka na kolejne wyzwanie.|"Tłumaczenie na polski:

""Piękna walka. Einar zachowuje swój tytuł, ale czeka na nowe wyzwanie.""

To zdanie opisuje sytuację, w której osoba o imieniu Einar wygrała jakąś rywalizację lub zawody i utrzymała swój tytuł, jednak jest gotowa stawić czoła kolejnym wyzwaniom w przyszłości. Może to być kontekst sportowy, artystyczny lub inny rodzaj konkurencji, gdzie istnieje możliwość obrony tytułu i dalszej rywalizacji."|Piękna walka. Einar zachowuje swój tytuł, ale czeka na ponowne wyzwanie.|Piękna walka. Einar zachowuje swój tytuł, ale czeka na nowe wyzwanie.|Piękna walka. Einar zachowuje swój tytuł, ale czeka na nowe wyzwanie.
They're off! They're off!|Jadą! Jadą!!!|"Tłumaczenie tego wyrażenia na język polski zależy od kontekstu, w jakim jest używane. Kilka możliwych tłumaczeń:

1. W kontekście sportowym (np. wyścigi samochodowe): ""Ruszyli!"" lub ""Startują!""
2. W kontekście gry (np. gra planszowa): ""Gra się rozpoczyna!""
3. Ogólnie, jako okrzyk entuzjazmu lub zachęty: ""Jedźmy!"" lub ""Ruszajmy!""
4. W kontekście technicznym (np. uruchamianie maszyny): ""Uruchomili!"" lub ""Włączyli!""

Bez dodatkowego kontekstu trudno jest podać jednoznaczne tłumaczenie. Jeśli mógłbyś dostarczyć więcej informacji o sytuacji, w której to wyrażenie jest używane, mogę zaproponować bardziej precyzyjne tłumaczenie."|Są wolne! Są wolne!|Ruszyli! lub Startują! w kontekście sportowym; Gra się rozpoczyna! w kontekście gry; Jedźmy! lub Ruszajmy! jako okrzyk entuzjazmu; Uruchomili! lub Włączyli! w kontekście technicznym.|Uciekli! Uciekli!
The gods are not kind, Jarl. Our isles are in for hard times.|Bogowie nie są łaskawi. Nasze wyspy czekają ciężkie czasy, panie.|"""Bogowie nie są łaskawi, Jarlu. Nasze wyspy czekają ciężkie czasy.""

To tłumaczenie zachowuje oryginalny sens zdania, oddając jego dramatyzm i powagę sytuacji. Warto zauważyć, że w języku polskim użyto archaicznego stylu mowy, aby lepiej odzwierciedlić atmosferę potencjalnie epickiego kontekstu, w którym te słowa mogłyby być wypowiadane."|Bogowie nie są łaskawi, Jarlu. Nasze wyspy czekają ciężkie czasy.|Bogowie nie są łaskawi, Jarlu. Nasze wyspy czekają ciężkie czasy.|Bogowie nie są łaskawi, Jarlu. Nasze wyspy czekają ciężkie czasy.
Vigi. Poor bugger.|Biedny Vigi.|"Tłumaczenie na język polski:

Vigi. Biedny gnojek.

To tłumaczenie oddaje znaczenie oryginalnego zdania w języku angielskim, używając potocznego i nieco dosadnego określenia wyrażającego współczucie lub litość wobec kogoś lub czegoś."|Biedny owad.|"Tłumaczenie na język polski:

Biedny gnojek."|Biedny chłopak.
I do have a horse in the race. Can't refuse, to be honest.|Nie odmówię. Zwłaszcza że mam swojego faworyta.|"Oto tłumaczenie na język polski:

Rzeczywiście mam konia w tym wyścigu. Nie mogę odmówić, będąc szczery.

To zdanie można interpretować jako przyznanie się do udziału w jakiejś rywalizacji lub sytuacji, z której trudno się wycofać. Osoba mówiąca sugeruje, że jest zaangażowana i nie ma możliwości rezygnacji, jednocześnie podkreślając swoją szczerość."|Mam też konia w tym wyścigu. Nie mogę odmówić, będąc szczerym.|"Rzeczywiście mam konia w tym wyścigu. Nie mogę odmówić, będąc szczery.

To zdanie można interpretować jako przyznanie się do udziału w jakiejś rywalizacji lub sytuacji, z której trudno się wycofać. Osoba mówiąca sugeruje, że jest zaangażowana i nie ma możliwości rezygnacji, jednocześnie podkreślając swoją szczerość."|Mam konia w wyścigu. Nie mogę odmówić, szczerze mówiąc.
Do you know any more about this curse?|O co chodzi z tą klątwą?|"Czy wiesz coś więcej o tej klątwie?

To tłumaczenie jest dosłowne i zachowuje znaczenie oryginalnego zdania. W języku polskim, podobnie jak w angielskim, to pytanie może być użyte w różnych kontekstach, aby wyrazić ciekawość lub potrzebę uzyskania dodatkowych informacji na temat klątwy."|Czy wiesz coś więcej o tej klątwie?|Czy wiesz coś więcej o tej klątwie?|Czy wiesz coś więcej o tej klątwie?
Let's play cards instead.|Zagrajmy w karty.|Zagrajmy w karty zamiast tego.|Zagrajmy w karty zamiast tego.|Zagrajmy w karty zamiast tego.|Zagrajmy w karty zamiast tego.
Lu-gos! Lu-gos! Lu-gos!|Lu-gos! Lu-gos! Lu-gos!|"""Lu-gos! Lu-gos! Lu-gos!"" to okrzyk kibiców piłki nożnej w języku hiszpańskim, który wyraża entuzjazm i wsparcie dla drużyny. W tłumaczeniu na język polski może brzmieć ""Goool! Goool! Goool!"" lub po prostu ""Gol! Gol! Gol!"". Jest to onomatopeja używana do oddania dźwięku strzelonego gola podczas meczu piłki nożnej."|Lugos! Lugos! Lugos!|Gol! Gol! Gol!|Ludwiku! Ludwiku! Ludwiku!
Sounds reasonable. Wait for me here - shouldn't be too long.|Brzmi rozsądnie. Czekajcie tu na mnie – załatwię to raz dwa.|"Tłumaczenie tego zdania na język polski brzmi:

""Brzmi rozsądnie. Poczekaj tu na mnie - nie powinno to zająć zbyt długo.""

To zdanie jest dość dosłowne i oddaje znaczenie oryginału w sposób bezpośredni. Warto zauważyć, że w języku polskim często używamy podobnych fraz w codziennych rozmowach, szczególnie w sytuacjach, gdy jedna osoba prosi drugą o poczekanie na nią przez krótki czas."|Brzmi rozsądnie. Poczekaj tu na mnie - nie powinno to zająć zbyt długo.|Brzmi rozsądnie. Poczekaj tu na mnie - nie powinno to zająć zbyt długo.|Brzmi rozsądnie. Poczekaj tu na mnie - nie powinno to długo potrwać.
Cerys wasn't lying… you know plants.|Cerys nie kłamała... Znasz się na ziołach.|"Tłumaczenie tego zdania na język polski brzmi:

""Cerys nie kłamała... wiesz, jak to jest z roślinami.""

To zdanie wydaje się być częścią dialogu lub narracji, w której jedna osoba (prawdopodobnie Cerys) mówi coś o roślinach, a druga osoba potwierdza jej słowa lub wyraża zrozumienie dla tematu."|Cerys nie kłamała... znasz rośliny.|Cerys nie kłamała... wiesz, jak to jest z roślinami.|Cerys nie kłamała... znasz rośliny.
Always.|Zawsze.|"Zawsze.

To tłumaczenie jest dosłowne i odpowiada znaczeniu angielskiego słowa ""always"" w języku polskim."|Zawsze.|Zawsze.|Zawsze.
Tell me, witcher. Have you any honor?|Powiedz no, wiedźminie. Masz honor?|"Tłumaczenie na polski:

""Powiedz mi, wiedźminie. Masz ty jakiś honor?""

To zdanie jest cytatem z serii książek o Wiedźminie autorstwa Andrzeja Sapkowskiego i zostało przetłumaczone dosłownie z oryginalnego tekstu."|Powiedz mi, wiedźminie. Masz jakikolwiek honor?|Powiedz mi, wiedźminie. Masz ty jakiś honor?|Powiedz mi, czarodzieju. Masz jakikolwiek honor?
You were right…|Miałeś rację...|"Miałeś rację...

To tłumaczenie jest dosłowne i odpowiada oryginalnemu zdaniu w języku angielskim. Warto zauważyć, że w języku polskim często używamy podobnych wyrażeń, aby potwierdzić czyjąś opinię lub stwierdzenie, np. ""Dobrze mówisz"", ""Tak, masz rację"" itp."|Miałeś rację...|Miałeś rację...|Miałeś rację...
You're right… Besides, trudging through mud in these heels would be murder.|Racja... Poza tym łażenie po tym błocie w moich obcasach byłoby mordęgą.|Masz rację... Poza tym brodzenie w błocie w tych szpilkach byłoby morderstwem.|Masz rację... Poza tym, brnięcie przez błoto w tych szpilkach byłoby morderstwem.|Masz rację... Poza tym brodzenie w błocie w tych szpilkach byłoby morderstwem.|Masz rację... Poza tym, brnięcie przez błoto w tych szpilkach byłoby morderstwem.
I am honored.|Zaszczycony jestem.|"Tłumaczenie tego zdania na język polski brzmi:

Jestem zaszczycony/a.

To wyrażenie używane jest w sytuacjach, gdy ktoś chce wyrazić wdzięczność lub uznanie za jakąś formę uhonorowania go, np. zaproszeniem na ważne wydarzenie, otrzymaniem nagrody czy pochwałą."|Jestem zaszczycony.|Jestem zaszczycony/a.|Jestem zaszczycony.
Twas as ye said it would be. Ye won. Glory's yours… as is the prize.|Stało się, jak mówiłeś. Wygrałeś. Twoja jest sława – i nagroda.|"Tak jak powiedziałeś, tak się stało. Wygrałeś. Chwała tobie... oraz nagroda.

To tłumaczenie oddaje sens oryginalnego zdania w języku angielskim, zachowując jego archaiczny charakter i użycie staroangielskich form gramatycznych."|Tak jak powiedziałeś, tak było. Wygrałeś. Chwała tobie... oraz nagroda.|Tak jak powiedziałeś, tak się stało. Wygrałeś. Chwała tobie... oraz nagroda.|Było tak jak powiedziałeś, że będzie. Wygrałeś. Chwała ci... oraz nagroda jest twoja.
Show me what you have.|Chcę obejrzeć twoje towary.|"Pokaż mi, co masz.

To tłumaczenie jest dosłowne i bezpośrednie. W języku polskim to wyrażenie może być używane w różnych kontekstach, zarówno formalnych, jak i nieformalnych, aby poprosić kogoś o pokazanie czegoś lub przedstawienie dowodów posiadania czegoś."|Pokaż mi, co masz.|Pokaż mi, co masz.|Pokaż mi co masz.
You've made the right choice.|Podjąłeś dobrą decyzję.|"Dobrze wybrałeś/wybrałaś.

To tłumaczenie jest dosłowne i najbardziej bezpośrednie, oddając znaczenie oryginalnego zdania w języku angielskim. Można też dodać nieco kontekstu lub emocji, w zależności od sytuacji, np.:

- ""Podjąłeś świetną decyzję!""
- ""To był naprawdę dobry wybór.""
- ""Jestem zadowolony/a z twojego wyboru.""

Warto pamiętać, że ton głosu i okoliczności mogą wpływać na odbiór takiego stwierdzenia."|Dokonałeś właściwego wyboru.|Dobrze wybrałeś/wybrałaś.|Dokonałeś/dokonałaś właściwego wyboru.
Hmm... Maya's got a right dreamy face! If not for that bit of bone rot in her right foot…|Hmm... Ale taka Maya buźkę ma jak marzenie! Tylko na prawą nogę lekko utyka...|Hmm... Majka ma taką rozmarzoną buzię! Gdyby nie ten kawałek zgniłej kości w jej prawej stopie...|Hmm... Twarz Mai jest naprawdę marzycielska! Gdyby nie ten kawałek zgniłej kości w jej prawej stopie...|Hmm... Majka ma taką rozmarzoną buzię! Gdyby nie ten kawałek zgniłej kości w jej prawej stopie...|Hmm... Twarz Mai jest naprawdę marzycielska. Gdyby nie ten fragment zepsutej kości w jej prawej nodze...
Why'd you two leave me at the Kingfisher?|Dlaczego zostawiłyście mnie w Zimorodku?|"Dlaczego zostawiliście mnie przy Królu Rybaku?

To tłumaczenie odnosi się do pytania ""Why'd you two leave me at the Kingfisher?"". W języku polskim używamy formy ""zostawiliście"" w drugiej osobie liczby mnogiej, aby wyrazić to samo znaczenie co ""you two left"" w języku angielskim. Dodatkowo, ""Król Rybak"" (Kingfisher) jest popularnym miejscem w Polsce i może być użyty jako lokalizacja w kontekście tej rozmowy. Jeśli chodzi o inne miejsca lub sytuacje, należałoby dostosować tłumaczenie do konkretnego kontekstu."|Dlaczego zostawiliście mnie w Kingfisherze?|Dlaczego zostawiliście mnie przy Królu Rybaku?|Dlaczego wy dwoje zostawiliście mnie w Kingfisherze?
Ouch! That hurt!|Ajć! Boli!|"Och! To zabolało!

To tłumaczenie odzwierciedla dosłowne znaczenie angielskiego wyrażenia ""Ouch! That hurt!"" w języku polskim. Jest to powszechnie używane wyrażenie, które może być stosowane w różnych sytuacjach, gdy ktoś doznaje bólu lub czegoś nieprzyjemnego."|Auć! To zabolało!|Och! To zabolało!|Auć! To bolało!
All right. Going back down.|Dobra, wracam na dół.|"Dobrze. Wracamy w dół.

To tłumaczenie jest dosłowne i zachowuje oryginalny sens zdania, które brzmi ""All right. Going back down."" W języku angielskim to wyrażenie może być używane w różnych kontekstach, na przykład gdy ktoś potwierdza, że coś jest w porządku („All right”) i następnie informuje o powrocie do niższego poziomu lub punktu („Going back down”). W języku polskim takie wyrażenia mogą być używane w sytuacjach, gdzie mowa o schodzeniu, opadaniu lub powrocie do poprzedniego stanu."|W porządku. Wracam w dół.|Dobrze. Wracamy w dół.|W porządku. Wracam na dół.
Nothin', not a thing… Just got the impression she doesn't like to let you out of her sight.|Nic, nic... Po prostu mam wrażenie, że nie lubi spuszczać cię z oczu.|"Tłumaczenie tego zdania na język polski brzmi:

""Nic, ani trochę... Mam wrażenie, że ona nie lubi spuszczać cię z oczu.""

To zdanie wyraża przypuszczenie mówiącego, że dana osoba (prawdopodobnie kobieta) ma tendencję do stałego obserwowania lub kontrolowania innej osoby (być może mężczyzny). Może to być interpretowane jako nadmierna troska, zazdrość lub próba dominacji."|Nic, ani trochę... Mam wrażenie, że ona po prostu nie lubi spuszczać cię z oczu.|Nic, ani trochę... Mam wrażenie, że ona nie lubi spuszczać cię z oczu.|Nic, ani trochę... Mam wrażenie, że ona nie lubi spuszczać cię z oczu.
Can outsiders sign up, or is this a closed event?|Obcy też może się zapisać czy to impreza zamknięta?|"Czy osoby z zewnątrz mogą się zapisać, czy jest to wydarzenie zamknięte?

To pytanie dotyczy możliwości uczestnictwa w jakimś wydarzeniu lub aktywności przez osoby spoza określonej grupy. Może odnosić się do różnych sytuacji, takich jak konferencje, warsztaty, imprezy sportowe czy spotkania towarzyskie. W zależności od charakteru wydarzenia i jego organizatorów, odpowiedź na to pytanie może być różna. Niektóre wydarzenia są otwarte dla wszystkich chętnych, podczas gdy inne mogą mieć ograniczony dostęp tylko dla członków danej organizacji, grupy lub zaproszonych gości."|Czy osoby z zewnątrz mogą się zapisać, czy to wydarzenie jest zamknięte?|"Czy osoby z zewnątrz mogą się zapisać, czy jest to wydarzenie zamknięte?

Pytanie dotyczące możliwości uczestnictwa w wydarzeniu lub aktywności przez osoby spoza określonej grupy."|Czy osoby z zewnątrz mogą się zapisać, czy to wydarzenie jest zamknięte?
Twas the jarl put the bun in 'er!|To jarl ją zabrzuszył!|"To jarl włożył bułkę do środka!

Ten angielski idiom ""Twas the jarl put the bun in 'er!"" jest żartobliwym wyrażeniem, które można przetłumaczyć jako ""To jarl włożył bułkę do środka"". Jest to gra słów związana z frazą ""to be in the bun"" (być w ciąży), gdzie ""jarl"" jest użyty jako rymujące się słowo zamiast ""earl"", co oznacza ""hrabia"". W tym kontekście, fraza ta sugeruje, że ktoś (w tym przypadku jarl) miał swój udział w powstaniu dziecka.

Warto zauważyć, że tego typu żarty językowe mogą być trudne do dosłownego przetłumaczenia i często wymagają znajomości kontekstu kulturowego oraz specyficznych niuansów językowych."|To jarl włożył jej bułkę!|To jarl włożył bułkę do środka.|To był jarl, który włożył bułkę.
Where did the mage flee to?|Dokąd uciekł czarodziej?|"Dokąd uciekł czarodziej?

To pytanie w języku angielskim ""Where did the mage flee to?"" zostało przetłumaczone na język polski jako ""Dokąd uciekł czarodziej?"". W tym tłumaczeniu zachowano sens oryginalnego zdania, pytając o miejsce, do którego udał się czarodziej po ucieczce."|Dokąd uciekł czarodziej?|Dokąd uciekł czarodziej?|Dokąd uciekł czarodziej?
Ey, if you really aim to return, mind bringin' me some solid twine? You're like to find it in the village.|Słuchaj, jakbyś rzeczywiście miał tu wracać, to przynieś mi ze wsi trochę solidnej dratwy.|"Oto tłumaczenie na język polski:

Ej, jeśli naprawdę zamierzasz wrócić, pamiętaj o przyniesieniu mi trochę porządnego sznura. Powinieneś znaleźć go w wiosce.

To zdanie wydaje się być fragmentem dialogu lub monologu z amerykańskiego slangu południowego. Osoba prosi kogoś, aby przywiózł jej ""porządny sznur"" (prawdopodobnie grubą linę) podczas powrotu do wioski. Może to sugerować, że sznur jest trudno dostępny lub potrzebny w tej konkretnej sytuacji."|Hej, jeśli naprawdę zamierzasz wrócić, pamiętaj, żeby przynieść mi trochę porządnego sznura. Znajdziesz go w wiosce.|Jeśli naprawdę zamierzasz wrócić, pamiętaj o przyniesieniu mi trochę porządnego sznura. Powinieneś znaleźć go w wiosce.|Hej, jeśli naprawdę zamierzasz wrócić, pamiętaj, żeby przynieść mi trochę mocnego sznura. Znajdziesz go prawdopodobnie we wsi.
Wenches, you know… But enough talkin', grab a fork. We've got manure to haul.|Wiesz, baby... Ale starczy gadania, łap za widły. Trzeba gnój wynieść.|"Tłumaczenie na język polski:

""Wenche, ty wiesz... Ale dość gadania! Bierz widły. Mamy nawóz do wywiezienia.""

To tłumaczenie zachowuje sens oryginalnego zdania, używając potocznego języka i odpowiednich narzędzi rolniczych (widły) w kontekście pracy na farmie."|Wieprze, wiecie... Ale dość gadania, bierzmy widły. Mamy nawóz do wywiezienia.|Wenche, ty wiesz... Ale dość gadania! Bierz widły. Mamy nawóz do wywiezienia.|Wiesz co, dziewczyny... Ale wystarczy gadania, weźcie widły. Mamy gnój do wywiezienia.
We must go to the central chamber, try to power down the security measures.|Chodźmy do głównej komnaty. Trzeba pozbyć się zabezpieczenia.|"Tłumaczenie tego zdania na język polski brzmi:

""Musimy iść do centralnej komory, spróbować wyłączyć zabezpieczenia.""

To zdanie sugeruje, że ktoś musi udać się do jakiegoś kluczowego pomieszczenia (prawdopodobnie w celu wykonania ważnego zadania lub naprawienia problemu) i podjąć próbę wyłączenia systemów bezpieczeństwa, które mogą być aktywowane lub utrudniać dostęp do tego miejsca."|Musimy udać się do komory centralnej, spróbować wyłączyć środki bezpieczeństwa.|Musimy iść do centralnej komory, spróbować wyłączyć zabezpieczenia.|Musimy udać się do centralnej komory i spróbować wyłączyć środki bezpieczeństwa.
Farewell.|Bywaj.|"Dobrze, oto tłumaczenie na język polski:

Pożegnanie.

To słowo ""Farewell"" w języku angielskim można przetłumaczyć jako ""pożegnanie"" lub ""do widzenia"" w języku polskim. Oba te wyrażenia są używane do wyrażenia rozstania się z kimś lub czymś, często w kontekście formalnym lub oficjalnym."|Żegnaj.|"Tłumaczenie samego słowa:

Pożegnanie."|Do widzenia.
I'm sure it doesn't in your eyes.|W waszych oczach na pewno nie.|"Tłumaczenie tego zdania na język polski brzmi:

""Jestem pewien, że nie w twoich oczach.""

To zdanie może być użyte w różnych kontekstach, na przykład gdy ktoś wyraża swoją opinię lub przekonanie, które jest sprzeczne z czyimś punktem widzenia. Może też odnosić się do sytuacji, w której jedna osoba ma inne postrzeganie danej sprawy niż druga."|Jestem pewien, że tak nie jest w twoich oczach.|Jestem pewien, że nie w twoich oczach.|Jestem pewien/pewna, że tak nie jest w twoich oczach.
Ahh… Ehh, never got on too well with her. But you're right - I oughta do this.|Ech, nigdy nie potrafię się z nią dogadać. Ale masz rację, muszę to zrobić.|Ach... Ech, nigdy nie dogadywałem się z nią za dobrze. Ale masz rację - powinienem to zrobić.|Ahh... Ehh, nigdy się z nią za bardzo nie dogadywałem. Ale masz rację - powinienem to zrobić.|Ach... Ech, nigdy nie dogadywałem się z nią za dobrze. Ale masz rację - powinienem to zrobić.|Ach... Ech, nie dogadywałem się z nią za dobrze. Ale masz rację - powinienem to zrobić.
Ready? Can we go?|Gotów? Ruszamy stąd?|"Tłumaczenie tego zdania na język polski brzmi:

""Gotowi? Możemy iść?""

To popularne wyrażenie używane w sytuacjach, gdy ktoś chce się upewnić, czy grupa jest przygotowana do rozpoczęcia jakiejś aktywności lub podróży. Często stosuje się je przed wyjazdem, startem zawodów sportowych lub innymi wydarzeniami, które wymagają wspólnego działania."|Gotowy? Możemy ruszać?|Gotowi? Możemy iść?|Gotowy? Możemy iść?
And I aim to keep my word. Here. This bauble's been in the family for generations. I give it you for helping ensure the line endures.|I dotrzymam słowa. Proszę. To cacko jest w moim rodzie od pokoleń... I za to, żeś pomógł zachować jego ciągłość, daję je tobie.|"Oto tłumaczenie na język polski:

""I dotrzymam słowa. Tutaj. Ta błyskotka jest w rodzinie od pokoleń. Daję ci ją za pomoc w zapewnieniu, że linia przetrwa.""

To zdanie wyraża intencję osoby, która chce podarować coś cennego jako znak wdzięczności i nadziei na kontynuację rodu lub tradycji."|I dotrzymam słowa. Tutaj. Ta błyskotka jest w rodzinie od pokoleń. Daję ją tobie za pomoc w zapewnieniu, że linia przetrwa.|"I dotrzymam słowa. Tutaj. Ta błyskotka jest w rodzinie od pokoleń. Daję ci ją za pomoc w zapewnieniu, że linia przetrwa.

To zdanie wyraża intencję osoby, która chce podarować coś cennego jako znak wdzięczności i nadziei na kontynuację rodu lub tradycji."|I zamierzam dotrzymać słowa. Tutaj. Ta pamiątka jest w naszej rodzinie od pokoleń. Daję ci ją za pomoc w zapewnieniu przetrwania linii.
Help! Help me pa! Help him, please!|Ratunku! Pomóż mojemu tacie! Pomóż mu, proszę!|"Tłumaczenie tego zdania na język polski brzmi:

""Pomocy! Pomóż mi tato! Pomóż mu, proszę!""

To jest dosłowne tłumaczenie z języka angielskiego. Warto zauważyć, że w języku polskim często używamy słowa ""proszę"" na końcu takich wezwań o pomoc, aby wyrazić uprzejmość i pilność sytuacji."|Pomocy! Pomóż mi pa! Pomóż mu, proszę!|Pomocy! Pomóż mi tato! Pomóż mu, proszę!|Pomocy! Pomóż mi! Pomóż mu, proszę!
No hard feelings, but we'll have to drink another time.|Nie żywię urazy, ale napijemy się kiedy indziej.|"Tłumaczenie tego zdania na język polski brzmi:

""Bez urazy, ale wypijemy innym razem.""

To popularne wyrażenie używane w sytuacji, gdy ktoś chce delikatnie odmówić wspólnego picia alkoholu lub innej aktywności, nie chcąc sprawiać przykrości rozmówcy. Zdanie to sugeruje, że osoba mówiąca jest otwarta na przyszłą okazję do spotkania i wspólnego spędzenia czasu, ale teraz musi odmówić."|Bez urazy, ale wypijemy innym razem.|Bez urazy, ale wypijemy innym razem.|Bez urazy, ale musimy spotkać się innym razem.
